locus_tag	gene
BW25113_0001	thrL
BW25113_0002	thrA
BW25113_0003	thrB
BW25113_0004	thrC
BW25113_0005	yaaX
BW25113_0006	yaaA
BW25113_0007	yaaJ
BW25113_0008	talB
BW25113_0009	mog
BW25113_0010	satP
BW25113_0011	yaaW
BW25113_0013	yaaI
BW25113_0014	dnaK
BW25113_0015	dnaJ
BW25113_0016	insL1
BW25113_0018	mokC
BW25113_4412	hokC
BW25113_0019	nhaA
BW25113_0020	nhaR
BW25113_0021	insB1
BW25113_0022	insA
BW25113_0023	rpsT
BW25113_0024	yaaY
BW25113_0025	ribF
BW25113_0026	ileS
BW25113_0027	lspA
BW25113_0028	fkpB
BW25113_0029	ispH
BW25113_0030	rihC
BW25113_0031	dapB
BW25113_0032	carA
BW25113_0033	carB
BW25113_0034	caiF
BW25113_0035	caiE
BW25113_0036	caiD
BW25113_0037	caiC
BW25113_0038	caiB
BW25113_0039	caiA
BW25113_0040	caiT
BW25113_0041	fixA
BW25113_0042	fixB
BW25113_0043	fixC
BW25113_0044	fixX
BW25113_0045	yaaU
BW25113_0046	kefF
BW25113_0047	kefC
BW25113_0048	folA
BW25113_0049	apaH
BW25113_0050	apaG
BW25113_0051	rsmA
BW25113_0052	pdxA
BW25113_0053	surA
BW25113_0054	lptD
BW25113_0055	djlA
BW25113_0058	rluA
BW25113_0059	rapA
BW25113_0060	polB
BW25113_0064	araC
BW25113_0065	yabI
BW25113_0066	thiQ
BW25113_0067	thiP
BW25113_0068	thiB
BW25113_0069	sgrR
BW25113_4662	sgrT
BW25113_0070	setA
BW25113_0071	leuD
BW25113_0072	leuC
BW25113_0073	leuB
BW25113_0074	leuA
BW25113_0075	leuL
BW25113_0076	leuO
BW25113_0077	ilvI
BW25113_0078	ilvH
BW25113_0080	cra
BW25113_0081	mraZ
BW25113_0082	rsmH
BW25113_0083	ftsL
BW25113_0084	ftsI
BW25113_0085	murE
BW25113_0086	murF
BW25113_0087	mraY
BW25113_0088	murD
BW25113_0089	ftsW
BW25113_0090	murG
BW25113_0091	murC
BW25113_0092	ddlB
BW25113_0093	ftsQ
BW25113_0094	ftsA
BW25113_0095	ftsZ
BW25113_0096	lpxC
BW25113_0097	secM
BW25113_0098	secA
BW25113_0099	mutT
BW25113_0101	yacG
BW25113_0102	zapD
BW25113_0103	coaE
BW25113_0104	guaC
BW25113_0106	hofC
BW25113_0107	hofB
BW25113_0108	ppdD
BW25113_0109	nadC
BW25113_0110	ampD
