locus_tag,essential,genome
BW25113_0075,FALSE,Escherichia_coli_BW25113
BW25113_0891,TRUE,Escherichia_coli_BW25113
BW25113_4341,FALSE,Escherichia_coli_BW25113
BW25113_4606,FALSE,Escherichia_coli_BW25113
BW25113_4687,FALSE,Escherichia_coli_BW25113
BW25113_2942,TRUE,Escherichia_coli_BW25113
BW25113_4702,FALSE,Escherichia_coli_BW25113
BW25113_0001,FALSE,Escherichia_coli_BW25113
BW25113_0554,FALSE,Escherichia_coli_BW25113
BW25113_0382,FALSE,Escherichia_coli_BW25113
BW25113_3267,FALSE,Escherichia_coli_BW25113
BW25113_3510,FALSE,Escherichia_coli_BW25113
BW25113_3901,FALSE,Escherichia_coli_BW25113
BW25113_0288,FALSE,Escherichia_coli_BW25113
BW25113_2666,FALSE,Escherichia_coli_BW25113
BW25113_3535,FALSE,Escherichia_coli_BW25113
BW25113_4509,FALSE,Escherichia_coli_BW25113
BW25113_3672,FALSE,Escherichia_coli_BW25113
BW25113_3766,FALSE,Escherichia_coli_BW25113
BW25113_4347,FALSE,Escherichia_coli_BW25113
BW25113_0018,FALSE,Escherichia_coli_BW25113
BW25113_0076,FALSE,Escherichia_coli_BW25113
BW25113_0559,FALSE,Escherichia_coli_BW25113
BW25113_2624,FALSE,Escherichia_coli_BW25113
BW25113_3922,FALSE,Escherichia_coli_BW25113
BW25113_0141,FALSE,Escherichia_coli_BW25113
BW25113_3263,FALSE,Escherichia_coli_BW25113
BW25113_3587,FALSE,Escherichia_coli_BW25113
BW25113_4026,FALSE,Escherichia_coli_BW25113
BW25113_4550,FALSE,Escherichia_coli_BW25113
BW25113_4554,FALSE,Escherichia_coli_BW25113
BW25113_0573,FALSE,Escherichia_coli_BW25113
BW25113_2562,FALSE,Escherichia_coli_BW25113
BW25113_3793,TRUE,Escherichia_coli_BW25113
BW25113_3890,FALSE,Escherichia_coli_BW25113
BW25113_0226,FALSE,Escherichia_coli_BW25113
BW25113_0556,FALSE,Escherichia_coli_BW25113
BW25113_1210,TRUE,Escherichia_coli_BW25113
BW25113_2667,FALSE,Escherichia_coli_BW25113
BW25113_3077,FALSE,Escherichia_coli_BW25113
BW25113_3214,FALSE,Escherichia_coli_BW25113
BW25113_3329,FALSE,Escherichia_coli_BW25113
BW25113_3491,FALSE,Escherichia_coli_BW25113
BW25113_3511,FALSE,Escherichia_coli_BW25113
BW25113_3873,FALSE,Escherichia_coli_BW25113
BW25113_4256,FALSE,Escherichia_coli_BW25113
BW25113_4315,FALSE,Escherichia_coli_BW25113
BW25113_0924,TRUE,Escherichia_coli_BW25113
BW25113_3215,FALSE,Escherichia_coli_BW25113
