locus_tag	gene_name	type	FDR	logFC.aerobic_T1...aerobic_T0	logFC.aerobic_T2...aerobic_T0	logFC.aerobic_T3...aerobic_T0	logFC.anaerobic_T1...anaerobic_T0	logFC.anaerobic_T2...anaerobic_T0	logFC.anaerobic_T3...anaerobic_T0
ZMO1_ZMO0001	.	perfect	5.68100654711455e-37	-0.0148049865323997	0.0727054290850923	0.207849877951587	-0.0850456329782066	-0.179372406393209	-0.164717756338505
ZMO1_ZMO0002	hisC1	perfect	2.13369740737817e-31	-0.0851780567636245	-0.0589194205941425	0.107973108667936	-0.0631406641629739	-0.0158045881327332	0.0127777388433777
ZMO1_ZMO0003	cysC	mismatch	5.72247598051072e-65	0.0613093320779322	0.158442401099949	0.212158650841195	0.0362063505965812	0.0759431200733607	0.321589803139261
ZMO1_ZMO0003	cysC	perfect	3.13336881965439e-46	-0.0579483094337322	-0.0279164985300699	-0.0297994626587042	-0.0215032382314747	-0.0175125500932219	-0.00750895957872266
ZMO1_ZMO0004	cysN	perfect	3.65544891273379e-46	-0.00901433114152566	-0.0096590308141335	-0.104330699428819	-0.0324163749579085	-0.00180701912631245	0.0128320554928897
ZMO1_ZMO0005	cysD	perfect	7.76482430980153e-56	-0.00529162378880734	-0.0011896115453327	0.0637314833833291	-0.0198693335170075	-0.0249466660272457	0.0130426136527044
ZMO1_ZMO0006	cysG1	perfect	4.14438079510197e-27	-0.0591644762415292	-0.210884190743758	-0.390975991605222	-0.00161904938498213	-0.115254070701251	-0.148333419294123
ZMO1_ZMO0007	cysH	mismatch	3.40698437511115e-43	0.0626057427016628	0.0155292855540428	0.250271950165541	-0.0681471986313978	-0.191711241305135	-0.180707217343633
ZMO1_ZMO0007	cysH	perfect	8.99768557294742e-27	-0.0326297314861599	-0.225659686783993	-0.132505118078525	-0.127006097919532	-0.227884568312279	-0.112946763690743
ZMO1_ZMO0008	cysI	perfect	5.53856473554155e-36	-0.0398027706253695	-0.0324932954773538	-0.0384066721398624	-0.0840294016745025	-0.124284767937516	-0.0514273783883985
ZMO1_ZMO0009	cysJ	mismatch	6.47352839489111e-61	-0.00646164840233721	0.386086484415403	0.571487624186042	-0.00558204708833431	0.171109377618321	0.573276509506205
ZMO1_ZMO0009	cysJ	perfect	4.10183136055815e-36	0.0341868183987329	-0.37003800723869	-0.348393472024448	-0.037053372781734	-0.226913401889631	-0.915695439021229
ZMO1_ZMO0010	.	perfect	5.73403834990978e-56	-0.123456184188017	-0.0255147511412612	0.0283985426655035	-0.0624535665108123	-0.0958448998269964	-0.0337967301236822
ZMO1_ZMO0011	.	perfect	2.72960091884242e-30	-0.034192162224538	-0.00127724678660898	-0.0571233541111932	-0.00129781807898131	0.0543430408363979	0.116286477117372
ZMO1_ZMO0012	hemN1	perfect	1.43545761581015e-25	-0.0283539523222558	-0.048713273557331	-0.146811320617657	-0.0299609661457219	-0.0797416060603167	-0.264783097582407
ZMO1_ZMO0013	.	perfect	1.7717156463476e-13	-0.0892189177028268	-0.290266009176797	-0.591635178357767	-0.0267180076096676	-0.21503260776403	-0.225466476328154
ZMO1_ZMO0014	rph	perfect	3.01033772716571e-45	-0.193667259079575	-0.6650252661612	-0.806432758177561	-0.298054152327158	-0.939605459141405	-0.99343059650201
ZMO1_ZMO0015	hrcA	perfect	5.47230940013395e-37	-0.0961683783707017	0.0446275013691382	0.14224524822283	-0.32230499569992	-1.01797528369944	-1.22938867535869
ZMO1_ZMO0016	grpE	mismatch	1.074123561701e-05	0.00149493390655277	-0.728328056097835	-0.992713684101073	-0.317760853076653	-1.11712997624677	-2.12720455389356
ZMO1_ZMO0016	grpE	perfect	2.07069468206449e-35	-0.237183446639853	-2.12907767260231	-2.78309145085213	-0.208181218989584	-2.20657430970439	-5.30343675604279
ZMO1_ZMO0017	.	perfect	2.44793890850499e-26	-0.0448968323970412	-0.222944459731977	-0.498531426110698	0.0375266395806201	-0.130129267802939	-0.447177629130921
ZMO1_ZMO0018	rpe	perfect	9.19310752009494e-27	-0.241559858085312	-2.30527248128759	-3.34418977379896	-0.290406845788358	-2.61449555067844	-4.40248895004891
ZMO1_ZMO0019	.	perfect	0.893340479659169	-0.107668137101888	-0.713928958639686	-1.19133694927793	-0.044392426373904	-0.848956054145545	-1.82541503241564
ZMO1_ZMO0020	.	perfect	4.18963337736199e-69	-0.0507511373120292	-0.00708078580310992	-0.158668489606424	-0.027738846928449	0.0511950302559877	0.114561868077082
ZMO1_ZMO0021	ykgF	perfect	9.47201840702467e-56	-0.0509606649219761	0.105668227940653	0.321182580714653	0.0318073142222792	0.0875106721136072	0.180461884885278
ZMO1_ZMO0022	.	perfect	2.00018618045044e-43	-0.00290721560451992	-0.101977843244211	-0.184138130322441	-0.0157000109281211	-0.0597351337773694	-0.187049242774757
ZMO1_ZMO0023	.	perfect	2.07180489701541e-41	-0.0546724093560287	-0.0365084202894892	0.0154030759559239	-0.0247718441976693	0.0171226667470591	0.122958971867493
ZMO1_ZMO0025	.	perfect	2.48875461156519e-49	-0.0923264821202814	-0.247136567216484	-0.373478271255624	-0.0742415201704204	-0.0463777080931881	0.00969512544567974
ZMO1_ZMO0026	.	perfect	6.02448428762274e-43	-0.0646874204264973	-0.173731053892972	-0.177535829180916	-0.118003037055234	-0.313783999989652	-0.46534063037628
ZMO1_ZMO0027	purH	perfect	1.06157726206154e-53	-0.323136905195303	-1.86138686045776	-2.8274437058573	-0.500410893280804	-2.8236830139961	-4.42829440005446
ZMO1_ZMO0028	.	perfect	8.04812611996403e-43	0.00782766768465671	-0.000212288562620955	0.0594411677411801	-0.0253063641286227	0.0486602559724463	0.0499495032091364
ZMO1_ZMO0029	.	perfect	1.42280418597281e-19	-0.236575989992542	-0.266853341258019	-0.356883059091347	-0.0561478434984644	0.0417223771385702	0.0597127193125859
ZMO1_ZMO0030	gloA1	perfect	1.23129590863304e-24	-0.025021026087067	0.123861047496968	0.129991815642622	-0.0171406473298015	-0.0223465095153877	-0.0264744951846493
ZMO1_ZMO0031	.	perfect	9.19490313168166e-42	0.0419840925392095	0.0724461478949915	0.156123132809697	-0.000180359457254614	0.0907910236552845	0.0913395823009557
ZMO1_ZMO0033	.	perfect	3.32124777797548e-38	-0.048371932454865	0.0420830759997032	0.264093234679363	-0.0149407881994012	-0.0806917899066941	-0.0540864355043616
ZMO1_ZMO0035	.	perfect	3.99374491666142e-40	-0.0114062054077127	-0.0422268638257704	0.0116812237585681	-0.0818208244413536	-0.144990939533161	-0.0126012441873846
ZMO1_ZMO0036	.	mismatch	3.27067431340132e-25	-0.079259485600798	-0.478345802059072	-0.141698382349677	-0.239088101113912	-0.613338958535407	-0.912595722357122
ZMO1_ZMO0036	.	perfect	1.280360726481e-39	-0.160282253232128	-0.403349865468181	-0.0591444655345835	-0.22419122837206	-0.54592198646388	-0.651982951179529
ZMO1_ZMO0037	nagE1	mismatch	5.09899665713168e-66	-0.248418703984228	-1.51329744181563	-1.4758188481168	-0.639781585232667	-2.43675191225613	-3.21038359645216
ZMO1_ZMO0037	nagE1	perfect	7.68069642534665e-70	-0.483111623226655	-2.25360967086327	-2.18567900773373	-0.659252115795314	-2.73421107371372	-3.59740376842057
ZMO1_ZMO0038	.	perfect	1.1165034128438e-47	-0.406640182645687	-1.32348455289333	-1.38908508571022	-0.527732766414127	-1.74752152492063	-2.42502301198643
ZMO1_ZMO0039	dnaQ	mismatch	1.11604311647223e-48	-0.212055734152988	-0.736103207378523	-0.44710658963811	-0.505507390137488	-1.71659611764166	-2.38873792910379
ZMO1_ZMO0039	dnaQ	perfect	6.0253449288822e-30	-0.287424851036893	-0.504684811651722	-0.0995753112728796	-0.571689075961962	-1.98182786442831	-2.5272308098505
ZMO1_ZMO0040	coaE	mismatch	2.61815352576667e-59	-0.0447572226617992	-0.725007791952356	-1.34572070734825	-0.0428700605054496	-0.960162280040728	-2.37560958786016
ZMO1_ZMO0040	coaE	perfect	1.58104690752355e-27	-0.101301849573972	-0.867830874751632	-1.19971270918555	-0.0751473609182611	-0.863277468091941	-2.00637009222145
ZMO1_ZMO0041	aroE	mismatch	1.4306046761477e-51	-0.0464113788129699	-1.51732909570889	-1.89092626865888	-0.121283531977622	-2.06032999756187	-3.49453004302165
ZMO1_ZMO0041	aroE	perfect	1.93543452626425e-72	-0.117175891084634	-1.83618407374335	-2.46430447292937	-0.10081791383213	-2.56030661875238	-4.2049311987365
ZMO1_ZMO0043	.	perfect	4.8849046901857e-48	-0.0422573463171691	0.0228422465953687	0.0646616355705441	-0.0434089236738387	0.0573547769563472	0.179044667862501
ZMO1_ZMO0044	.	perfect	3.40867577497381e-21	-0.0985286828232972	-0.123620667062088	-0.174191325044603	-0.104237555641406	-0.200151481581474	-0.410832880132017
ZMO1_ZMO0047	.	perfect	1.16383580606216e-64	-0.0943591293194181	-0.068517902802397	0.00199509150281918	-0.0492329478187506	0.00435861124217074	0.0636376861562526
ZMO1_ZMO0050	.	perfect	1.21289018127049e-44	-0.153105015685579	-0.139786682069845	-0.132863509490417	-0.104927186192791	-0.180379823773107	-0.17456070028454
ZMO1_ZMO0052	cynX	perfect	1.02848984621285e-30	-0.0602854982288862	0.0246667084875086	-0.122169035003499	-0.00900448618360852	0.178496534724038	0.305873264319201
ZMO1_ZMO0053	pcaD	perfect	2.37323969831062e-44	-0.201935375385286	-0.396725791240358	-0.593580744698181	-0.0614759325981385	-0.653590101207016	-0.904671712091315
ZMO1_ZMO0054	marR	perfect	7.5987744352529e-36	-0.123760070609963	0.00783770211509224	0.219369705531744	-0.0936237203578685	-0.102647871105548	0.171717571557448
ZMO1_ZMO0055	.	perfect	8.31215310084585e-44	-0.0347815508014669	-0.155300098088802	-0.253528226649456	0.023431543157666	0.0638738361206942	0.0255254790097655
ZMO1_ZMO0056	glmS	mismatch	4.65344667935275e-89	-0.883146967541936	-4.81218363667409	-6.47292280153676	-1.477859404579	-6.28833563983088	-7.72524267879741
ZMO1_ZMO0056	glmS	perfect	9.3130667589845e-70	-1.2869689669271	-5.72817104885214	-7.10041592097972	-1.66395078145122	-6.80982383052625	-9.55630978523082
ZMO1_ZMO0057	.	perfect	5.73411672073566e-14	-0.132538496761929	-0.244093492675408	-0.484597964620619	-0.0718220179085258	-0.294463180909495	-0.533891718064497
ZMO1_ZMO0059	glxK	perfect	2.4996384289827e-65	-0.163960833374216	-0.094165287244284	0.0298076376303581	-0.122239193431577	-0.0896165076415415	-0.0887250792904166
ZMO1_ZMO0060	.	perfect	9.62339025888043e-67	0.0115403882555997	0.1759399125722	0.383787061898365	-0.043657701991722	-0.0313805537040516	0.0761876643832592
ZMO1_ZMO0061	.	perfect	9.55758353522999e-52	-0.145969774108993	-0.0114028501368321	-0.0796621903883612	0.0163361681872995	0.064901212210719	0.076109704452394
ZMO1_ZMO0062	.	perfect	1.41324160238135e-40	0.0123654418042591	-0.00283421324077746	0.114912792400897	-0.0369768529433757	-0.154502168786492	-0.269586945854182
ZMO1_ZMO0064	oprB1	mismatch	3.47292352530286e-05	-0.266891402820838	-0.0809402719257245	0.372043241633026	0.0474148940559506	-0.145289249928513	0.159992013860657
ZMO1_ZMO0064	oprB1	perfect	3.70225984117826e-27	0.0112281118301001	-0.316900107370243	-0.638948517439199	-0.0270694984130193	-0.519324107578501	-0.879112662006766
ZMO1_ZMO0066	.	mismatch	7.8486233194765e-13	0.0888628218432055	0.191548845533482	0.363640241851156	0.0187433375457062	-0.0493851037876477	-0.19719170120995
ZMO1_ZMO0066	.	perfect	7.17294940744279e-14	0.0628700898242867	0.135445692840086	0.111930438137383	-0.010819942503806	-0.28315254723204	-0.726412513195712
ZMO1_ZMO0068	.	perfect	1.13422573737423e-45	-0.0675258077857589	0.00109183773334423	0.041549762871434	-0.0852882412847484	-0.0831904942143484	-0.0614425875696645
ZMO1_ZMO0069	.	perfect	1.01074413928457e-36	-0.101243766726841	0.0262597212784743	0.106822463223304	-0.0600361449525315	-0.0760054452811698	0.156575571690773
ZMO1_ZMO0070	grxB1	perfect	5.12314510809831e-23	-0.119544670134549	-0.0571249520219093	-0.106718080774661	-0.0406508552260811	-0.0629278729961254	0.0073603074248732
ZMO1_ZMO0072	.	perfect	5.11998388115238e-22	-0.0127114054573963	-0.137210289154964	0.11306596948102	-0.20537163817675	-0.590131866493791	-0.65473902248764
