locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMO0001	.	perfect	0.539567433602112	6.07097943496473e-17	1.07080069175961e-25	0.936839017785744	2.9297092094935e-14	6.52258495153683e-21	0.80498630958722	0.000854052065974621	0.000139050955597914
ZMO1_ZMO0002	hisC1	perfect	0.952431580662775	9.45517426606301e-09	1.23253672692007e-14	0.963707242893123	5.25943121799899e-17	1.04447176133154e-19	0.952707195848182	0.0138024429558804	0.0578165755444288
ZMO1_ZMO0003	cysC	perfect	0.458524674719271	3.43334848497804e-24	4.68007636621874e-25	0.0462629850154385	5.34975021703448e-29	2.64684073236559e-32	0.607840589857646	0.00867100961359323	4.65001983126832e-11
ZMO1_ZMO0004	cysN	perfect	0.04033409305666	2.47269648139981e-19	2.09145032029226e-14	0.280989961141312	6.38873791462773e-29	6.45677000549189e-34	0.432691966043875	5.49398874414283e-07	2.12904522006627e-17
ZMO1_ZMO0005	cysD	perfect	0.0346717711701943	2.43662543282457e-29	3.42085374321914e-35	0.0364295060157639	1.34200848887355e-31	8.49312879021213e-36	0.912254909921699	0.0943216641560429	2.93162212604859e-07
ZMO1_ZMO0006	cysG1	perfect	0.416100405279273	3.99674906415191e-13	4.71652753755111e-21	0.457771154771285	9.32459780972995e-10	5.66124064467646e-16	0.816822714637581	0.0111482279217313	7.90901171619399e-08
ZMO1_ZMO0007	cysH	perfect	0.962465033442034	0.00357667104073277	9.02119336068893e-06	0.408812925008733	6.02237629420329e-12	3.0668888335083e-19	0.556307416890438	3.70699486305829e-07	3.41649138899455e-09
ZMO1_ZMO0008	cysI	perfect	0.739991587948778	6.74210851101914e-18	1.23616002112434e-21	0.761535322273334	2.08749869057942e-14	4.28003298202665e-24	0.986006337114673	0.0180295447853857	4.0772418076249e-06
ZMO1_ZMO0009	cysJ	perfect	0.0556846275433249	1.04637337674318e-15	1.17027300360008e-20	0.102342484564077	6.70705062896169e-12	3.16788563864246e-27	0.763872475267405	0.0100054261228961	0.00500024738936528
ZMO1_ZMO0010	.	perfect	0.612558864463702	1.36994864974575e-26	1.16892937047988e-30	0.280972373038688	1.41524584986932e-27	2.48636100433288e-37	0.965130706613354	0.766858019948158	0.0187624739806834
ZMO1_ZMO0011	.	perfect	0.695337603077168	3.8548871176039e-09	1.86364927971305e-08	0.587748683734376	1.66642737990548e-16	2.82742233097193e-23	0.780283349115528	0.000667722929864118	4.61515081321255e-11
ZMO1_ZMO0012	hemN1	perfect	0.466279952885205	2.99226444283802e-11	1.8402931092451e-10	0.520219783670772	1.30898654222692e-14	3.19400607237928e-14	0.24350564461101	0.000562496318897369	0.000339381101800915
ZMO1_ZMO0013	.	perfect	0.976820216908713	0.0124692520096597	0.0779653942762463	0.789891640024769	6.4649209971466e-06	3.76071102114126e-08	0.396441316420139	0.0732365202837803	5.05750306279318e-15
ZMO1_ZMO0014	rph	perfect	0.580824284676426	3.04515080801984e-16	1.62787167294403e-14	0.000522726053265251	4.51240560845384e-30	8.72274313335168e-40	0.0337310027390401	3.80559687732655e-08	2.37378872784365e-20
ZMO1_ZMO0015	hrcA	perfect	0.766839794696432	5.7009354783093e-23	8.5829768417102e-31	0.00348247518737752	4.32888651558219e-17	2.64558544062052e-22	0.0278118306763494	7.22350927269843e-27	1.204167790763e-38
ZMO1_ZMO0016	grpE	perfect	0.913967959202245	3.4076618629597e-13	2.45759731038934e-20	0.997023700540781	4.91848065614703e-14	1.07686935830408e-38	0.624604162738155	0.29857845609429	8.37002754891567e-17
ZMO1_ZMO0017	.	perfect	0.501918821603015	2.24536031229853e-11	7.25845886481943e-18	0.56802407853842	1.13007409153445e-09	1.66303385675166e-13	0.204516313686672	8.05233281648351e-06	3.67095785498518e-12
ZMO1_ZMO0018	rpe	perfect	0.994840317917249	2.04077797847133e-10	1.37699568053159e-18	0.980385889497153	2.34013952497446e-12	7.47890638038394e-25	0.99806487909718	0.997751270483287	0.109022975587003
ZMO1_ZMO0019	.	perfect	0.999878095421808	0.9755785290411	0.283696217171218	0.999763841189901	0.820065759014826	0.0110148388133597	0.95773504006723	0.942041786752572	0.989065066402601
ZMO1_ZMO0020	.	perfect	0.0492714381591116	2.46552814056599e-23	2.12910873897068e-16	0.000209854034830516	6.58074660347505e-51	1.23133287783845e-61	0.145573825305601	1.87888062181405e-23	5.99694857751568e-44
ZMO1_ZMO0021	ykgF	perfect	0.744432614966976	4.30990133848018e-26	3.0961458463992e-32	0.0554002243031669	7.56825260980209e-31	2.72597853734999e-42	0.828273059769628	0.0247663335947169	7.05715734768239e-06
ZMO1_ZMO0022	.	perfect	0.00130945242175499	2.49516436406875e-25	8.15682211842439e-21	0.0223953480628771	1.40735783494594e-26	2.789946541999e-29	0.821105340398391	0.000539845692093569	0.000482242076810352
ZMO1_ZMO0023	.	perfect	0.598221034277175	1.16318838142955e-11	1.08154519638387e-23	0.132115515154445	1.01709580717642e-25	4.54988429471097e-40	0.726212910812927	6.86881304299781e-06	1.96296652199756e-12
ZMO1_ZMO0025	.	perfect	0.597343382718907	8.44099051418491e-12	5.64925384455814e-21	0.890749089148853	7.68808339091353e-28	7.77530452323515e-39	0.395819119136733	0.000338829064257994	3.47143144672865e-09
ZMO1_ZMO0026	.	perfect	0.00449486747736986	7.7397542280458e-25	1.86269917536953e-25	0.224695431753306	1.30065737168847e-22	3.96415658113305e-34	0.805093462225638	0.590675217118158	4.62487440262112e-08
ZMO1_ZMO0027	purH	perfect	0.495819329033796	1.42284887876407e-19	8.84561473131328e-35	0.0440313230069451	1.83244854907191e-35	5.39109482878469e-51	0.94838598618058	6.34851509534344e-10	1.96599718453397e-17
ZMO1_ZMO0028	.	perfect	0.213730144228081	4.9946167335127e-18	6.42738038399667e-22	0.323196214025732	7.8658960735691e-24	5.94157494608818e-31	0.891053930563128	0.000795898866664235	3.4035001853161e-06
ZMO1_ZMO0029	.	perfect	0.843954744893829	0.258216561183245	0.760656588385682	0.964252087633918	4.97514733620206e-10	1.90248170300365e-14	0.322787660722985	6.90181420692439e-05	9.92870352943409e-12
ZMO1_ZMO0030	gloA1	perfect	0.850112345712199	1.10073274088146e-10	1.67143788307178e-08	0.549864106323745	1.58065075162601e-08	3.62499341134907e-13	0.420513348715164	0.000227173189906318	2.41730099479999e-05
ZMO1_ZMO0031	.	perfect	0.240362407772939	3.9899320532003e-18	6.42554649683761e-25	0.486720425885577	3.93453149828591e-23	4.34267178253014e-33	0.888920969876482	0.855039275743059	0.0355916146042063
ZMO1_ZMO0033	.	perfect	0.831975710697796	1.84883780393538e-15	1.14589757837303e-23	0.621137477487346	1.75743610908248e-13	1.53790105655736e-20	0.610668165957836	0.00662483935877178	3.55257015981106e-05
ZMO1_ZMO0035	.	perfect	0.0351666151702211	1.49413413792608e-16	2.86479186695919e-18	0.597303452656825	1.19526394307422e-17	3.18729745577073e-24	0.934984574785494	0.248702278798937	0.000101617550964413
ZMO1_ZMO0036	.	perfect	0.0388225399205115	1.15860581045193e-15	1.86539495991478e-24	0.120068749617786	1.18259783183264e-14	7.62902293231328e-24	0.398071251857136	0.0398654142946445	9.50381355593484e-10
ZMO1_ZMO0037	nagE1	perfect	0.00031274253862962	2.94248114516771e-43	4.24294803315008e-44	2.2308777288221e-10	1.649644381148e-53	4.79609761582303e-64	0.397651733852271	5.06527028578791e-07	3.05373429025638e-26
ZMO1_ZMO0038	.	perfect	0.000687132242606551	2.35447319252358e-25	1.01910952823225e-29	8.22312623738616e-08	2.44417895697554e-36	1.33784055751284e-49	0.596968651612642	0.00218066286484916	1
ZMO1_ZMO0039	dnaQ	perfect	0.197008123838204	0.0656209501172558	3.45667529673855e-05	0.00241227342838688	7.0663504344329e-23	4.60435738817066e-33	0.916080904687782	9.8064984033682e-15	7.95017758545829e-36
ZMO1_ZMO0040	coaE	perfect	0.974785220969417	8.13074356893072e-09	6.55284302127931e-17	0.952223656410469	8.79686088513905e-06	4.54974356780229e-28	0.84053152236346	0.317908739251388	1.18102290497836e-08
