locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMO0001	.	perfect	-0.0148940776295617	0.0724655326998251	0.208965481648631	-0.0850466856439869	-0.180159047367093	-0.164087480951407	0.0607019971853744	0.348502295207496	0.356316283655799
ZMO1_ZMO0002	hisC1	perfect	-0.0852650411481417	-0.0591228202493146	0.107752593897743	-0.0631249786399489	-0.0159477024204542	0.0127624855176582	-0.0554141813077794	-0.0659136203984275	0.0481792124472852
ZMO1_ZMO0003	cysC	perfect	-0.0580313980455172	-0.02825033593187	-0.0304916104204454	-0.0215026383700115	-0.0176903199851856	-0.00747666706554234	-0.112104757199635	-0.078448913569964	-0.0802209743726288
ZMO1_ZMO0004	cysN	perfect	-0.00910642961670168	-0.0100330832709784	-0.105322767582405	-0.0324216964444569	-0.0016939447498252	0.0124389214479514	-0.113627844634631	-0.179044918787041	-0.178483902934328
ZMO1_ZMO0005	cysD	perfect	-0.00539556750173577	-0.00168206808102647	0.0634258111280978	-0.0198708066669558	-0.0250399532166088	0.0130415867432029	0.00396138027492208	0.00905307461317141	0.105150801435405
ZMO1_ZMO0006	cysG1	perfect	-0.058917938995802	-0.21058058651934	-0.389736567191561	-0.00163535632575199	-0.115601150458562	-0.148377125189272	-0.135706278734268	-0.163114317842442	-0.287954347831989
ZMO1_ZMO0007	cysH	perfect	-0.0326127724462351	-0.225700571150973	-0.131380489918706	-0.127022321737666	-0.228117434283881	-0.113221349068021	-0.0766428368579687	-0.19412929778052	-0.026695106367813
ZMO1_ZMO0008	cysI	perfect	-0.0399336304912341	-0.0328933867536741	-0.0405155419423434	-0.0840411083989163	-0.124892672579584	-0.0512928926699565	0.021997951729912	-0.0724720534268069	-0.2073711323882
ZMO1_ZMO0009	cysJ	perfect	0.0340991799348684	-0.370332204952188	-0.349732922396064	-0.0370692350210247	-0.226504035504446	-0.91614303172786	-0.0648013838363154	0.167200649552612	0.342695588994068
ZMO1_ZMO0010	.	perfect	-0.123530820955695	-0.0256794071505058	0.0270316239213551	-0.0624538475504314	-0.0962451175664774	-0.0335179061024074	-0.0276570349179304	0.0389441345941641	0.0719176222879845
ZMO1_ZMO0011	.	perfect	-0.0342440627676271	-0.00220430698863774	-0.0573444906725083	-0.00131557225111327	0.0542782495531676	0.116018818603101	-0.178008660000437	-0.0447015483302642	-0.211862194220987
ZMO1_ZMO0012	hemN1	perfect	-0.0283567301876257	-0.0484863144032828	-0.146634858937933	-0.0299830487275675	-0.0799357600427257	-0.264741684946679	-0.168255762050287	-0.19977799352553	-0.052371793203419
ZMO1_ZMO0013	.	perfect	-0.0892305092729563	-0.290240572936317	-0.592890470859571	-0.0267349048701546	-0.21511497229631	-0.225180119417582	-0.131378652966327	-0.141272908162395	-0.381842576169156
ZMO1_ZMO0014	rph	perfect	-0.193695982017605	-0.663784689712323	-0.804980378236067	-0.298068165118936	-0.940007836514342	-0.992424880957628	0.0505808233662801	0.335036107193715	0.267692377274159
ZMO1_ZMO0015	hrcA	perfect	-0.0961747731477037	0.0443104743735164	0.142412869835097	-0.322311421984191	-1.01836894358007	-1.22860138139029	0.226093849734249	1.05647464670083	1.3359783211687
ZMO1_ZMO0016	grpE	perfect	-0.23713828917055	-2.13144331170252	-2.78723321241335	-0.20819055596002	-2.20600788358261	-5.30409214129059	-0.269761081967347	0.252324164550311	2.03497455907587
ZMO1_ZMO0017	.	perfect	-0.0448916505930436	-0.223848925605539	-0.500410448705204	0.0375112124237477	-0.129715211875832	-0.447953109806064	-0.223489559980162	-0.172792864017664	-0.192152569455268
ZMO1_ZMO0018	rpe	perfect	-0.241445409349457	-2.30154706628649	-3.33503952118286	-0.29040982279101	-2.61360270843194	-4.4030333975823	-0.135229713687878	0.0902868136746442	0.753773399237531
ZMO1_ZMO0019	.	perfect	-0.107210146563358	-0.709694290470535	-1.17559661607674	-0.0444271063835431	-0.848737506256117	-1.82639190719352	-0.415560895985618	-0.268628719269521	0.283363129866277
ZMO1_ZMO0020	.	perfect	-0.0508061098074975	-0.00719277621253497	-0.158991054013776	-0.0277354293771571	0.0511949309687803	0.11446290144136	-0.0958315022084354	-0.126064590535495	-0.248905110394502
ZMO1_ZMO0021	ykgF	perfect	-0.0510284549544503	0.10477204236988	0.320030699067457	0.0318019136859372	0.0873600360403822	0.18053905606844	-0.0886536698459167	-0.0280928177308402	-0.0489592941851841
ZMO1_ZMO0022	.	perfect	-0.00300406769694545	-0.102292047477984	-0.18427838991677	-0.0157019221205935	-0.0597452778927696	-0.187197290806967	-0.0544332086983821	-0.111156159725935	-0.011704672903335
ZMO1_ZMO0023	.	perfect	-0.0547703703087326	-0.0367520579145669	0.0145484699405568	-0.0247604344997032	0.0169664579544342	0.12297876722437	-0.0711062098303236	-0.0902449011119667	-0.150883816327917
ZMO1_ZMO0025	.	perfect	-0.0923791904407009	-0.246984379621465	-0.373625356218292	-0.0742485399582234	-0.0464302778595952	0.00958785345538654	-0.0628585237658435	-0.0669386783318805	-0.0422453038350653
