locus_tag	gene_name	type	FDR	logFC.aerobic_T1...aerobic_T0	logFC.anaerobic_T1...anaerobic_T0
ZMO1_ZMO0001	.	perfect	0.0054121314933421	-0.311328863522832	-0.970614911046556
ZMO1_ZMO0002	hisC1	perfect	0.00401911657838875	0.0925397160126311	0.0316711136266219
ZMO1_ZMO0003	cysC	mismatch	0.000483853940736729	0.296100329791187	-0.191178699710371
ZMO1_ZMO0003	cysC	perfect	0.000643629324416035	-0.0782787950317317	-0.271270431010805
ZMO1_ZMO0004	cysN	perfect	3.94936558146671e-05	-0.187118584592862	-0.199719360323679
ZMO1_ZMO0005	cysD	perfect	6.26676463070282e-06	-0.03367740081312	0.0971485724143191
ZMO1_ZMO0006	cysG1	perfect	0.0739140900915476	-0.449713735904868	-0.185695014404099
ZMO1_ZMO0007	cysH	mismatch	0.0261487624808848	-0.730588398627557	-0.210496002521703
ZMO1_ZMO0007	cysH	perfect	0.00386352560100749	-0.215461665600615	-0.188520874938046
ZMO1_ZMO0008	cysI	perfect	0.000125205588036769	-2.77527559571599	-0.168005220555961
ZMO1_ZMO0009	cysJ	mismatch	0.00127437001208542	0.355969994825963	1.19228226684699
ZMO1_ZMO0009	cysJ	perfect	2.90777552473547e-05	-0.498739455923062	0.305835930953089
ZMO1_ZMO0010	.	perfect	1.53768015870194e-05	0.138628356377654	0.0068217324546882
ZMO1_ZMO0011	.	perfect	0.0296763040001869	-0.445953179316768	0.820337481889617
ZMO1_ZMO0012	hemN1	perfect	0.221138703793934	-0.388833843026758	-0.493256579612815
ZMO1_ZMO0013	.	perfect	0.291170002583689	-1.09004684753779	-0.868960048846563
ZMO1_ZMO0014	rph	perfect	1.99018824471013e-10	-0.886521095232764	-2.6179729963961
ZMO1_ZMO0015	hrcA	perfect	0.0051456461262609	-0.555062356633001	-0.135143317947247
ZMO1_ZMO0016	grpE	mismatch	0.0578795152340294	-4.20157774059316	-2.6369680479651
ZMO1_ZMO0016	grpE	perfect	8.59944426704916e-07	-7.60870127345811	-6.70044301165968
ZMO1_ZMO0017	.	perfect	0.0109859058412571	0.332639364859585	-0.526233363279392
ZMO1_ZMO0018	rpe	perfect	2.7811981767215e-17	-9.29919462637972	-7.7092389062307
ZMO1_ZMO0019	.	perfect	1.15596786148945e-06	-6.57148655827886	0.0303462684984295
ZMO1_ZMO0020	.	perfect	1.0842243781195e-10	-0.536607824407046	0.0889294114209483
ZMO1_ZMO0021	ykgF	perfect	3.62249249325165e-05	0.07762543510676	0.123841210142316
ZMO1_ZMO0022	.	perfect	7.24052783020752e-06	-0.0744000037634843	0.278897363551019
ZMO1_ZMO0023	.	perfect	0.0204819090839254	-0.129113097673	0.018606844069782
ZMO1_ZMO0025	.	perfect	3.71012376632398e-09	-3.43870141331766	0.117440222081303
ZMO1_ZMO0026	.	perfect	9.48778766169025e-09	-0.334263781756426	-0.358775259417357
ZMO1_ZMO0027	purH	perfect	7.9872731186766e-05	-1.11565055009407	-5.13631239779773
ZMO1_ZMO0028	.	perfect	0.000111265446282687	0.428343221120196	0.261810225668097
ZMO1_ZMO0029	.	perfect	0.00302731146817304	0.0730792778251727	-0.496372634616361
ZMO1_ZMO0030	gloA1	perfect	0.0378599399341412	-0.623080669335139	0.724062896521469
ZMO1_ZMO0031	.	perfect	0.00172156561798357	-0.398730712827886	-0.223905001167674
ZMO1_ZMO0033	.	perfect	0.236711769933164	-1.08193695286688	-1.37636999607455
ZMO1_ZMO0035	.	perfect	1.75315367976888e-05	0.23942935296852	-0.0403680838749741
ZMO1_ZMO0036	.	mismatch	0.587217755788787	-0.989512287676936	-0.539941791181063
ZMO1_ZMO0036	.	perfect	0.000239592749795419	-0.360382702089743	-0.454973565427637
ZMO1_ZMO0037	nagE1	mismatch	0.642952765373781	-1.17634171240545	-1.30771378186237
ZMO1_ZMO0037	nagE1	perfect	1.44911242654866e-07	-2.08972380623449	-2.57796143789322
ZMO1_ZMO0038	.	perfect	0.172445060085406	-0.55438080783169	-1.17600026182855
ZMO1_ZMO0039	dnaQ	mismatch	1.16139978774023e-15	-6.29900537532503	-5.51922179049553
ZMO1_ZMO0039	dnaQ	perfect	8.56798898269026e-11	-7.37704889765079	-5.08910832812448
ZMO1_ZMO0040	coaE	mismatch	6.6305342788842e-06	-3.87973873679685	-3.16522445113784
ZMO1_ZMO0040	coaE	perfect	3.94981670803887e-07	-4.46763985558209	-3.76244064795097
ZMO1_ZMO0041	aroE	mismatch	2.47467504063181e-08	-3.80583046478763	-4.7795954019878
ZMO1_ZMO0041	aroE	perfect	2.86114081658356e-16	-5.41077225402328	-7.10990159258215
ZMO1_ZMO0043	.	perfect	2.50127201015271e-05	0.150490824538147	0.393284788587985
ZMO1_ZMO0044	.	perfect	0.0316382689664458	-0.254629414610781	-0.0354804014820636
ZMO1_ZMO0047	.	perfect	4.81597579975987e-07	-0.179523433079047	-0.0926958344344601
ZMO1_ZMO0050	.	perfect	2.40135379819884e-05	-0.215280005211938	-0.194161437205173
ZMO1_ZMO0052	cynX	perfect	5.89413571201621e-05	1.35427616151098	-0.744315665846574
ZMO1_ZMO0053	pcaD	perfect	8.791170479503e-08	-0.881620259348378	-0.578526056531925
ZMO1_ZMO0054	marR	perfect	4.01172763884035e-08	0.923844670884252	0.064269132630126
ZMO1_ZMO0055	.	perfect	0.00208385803006019	-0.390270723493747	-0.0876854993666941
ZMO1_ZMO0056	glmS	mismatch	5.30190879757756e-08	-7.32445575179274	-6.14686715844686
ZMO1_ZMO0056	glmS	perfect	2.21892495804116e-10	-9.17730094002044	-8.70105648953942
ZMO1_ZMO0057	.	perfect	0.00107361818576402	-0.683268070254531	0.0388792230018128
ZMO1_ZMO0059	glxK	perfect	1.26122386416378e-09	-0.222776503659972	-0.201217835514707
ZMO1_ZMO0060	.	perfect	1.16097032650348e-09	0.0595873357931291	-0.130138253338929
ZMO1_ZMO0061	.	perfect	4.89732087892539e-06	-0.320588624793099	0.64284141317618
ZMO1_ZMO0062	.	perfect	0.000455848851671649	0.0941059926081546	0.146406137178909
ZMO1_ZMO0064	oprB1	mismatch	0.0693031406337185	-5.03582226277712	-3.23271632571853
ZMO1_ZMO0064	oprB1	perfect	1.07892553886444e-06	-3.98495517346397	-2.80255891500389
ZMO1_ZMO0066	.	mismatch	0.193976849069732	0.275566301568451	0.694728282920101
ZMO1_ZMO0066	.	perfect	0.144976218227684	-2.99624613686695	0.750875134456817
ZMO1_ZMO0068	.	perfect	0.0757861272608498	-0.703809476845493	-0.389119869678061
ZMO1_ZMO0069	.	perfect	9.62294740007658e-06	-0.259536220073446	-0.00250386727826213
ZMO1_ZMO0070	grxB1	perfect	0.00563602632320047	0.984405043864424	-1.08040597872794
ZMO1_ZMO0072	.	perfect	0.00148691075827369	-0.636915533700244	-0.318285328640365
ZMO1_ZMO0073	.	mismatch	0.675999508183007	-0.874761388862331	-0.875306682685558
ZMO1_ZMO0073	.	perfect	0.668692825522212	-1.41351249161309	-0.793180295116591
ZMO1_ZMO0074	.	mismatch	3.07248494590634e-11	-8.13244058806968	-7.71755554777
ZMO1_ZMO0074	.	perfect	1.12541126382164e-14	-10.176041810989	-8.73049373095403
ZMO1_ZMO0075	phoH	perfect	0.000378098665166626	-0.468013021569678	-1.6501511476037
ZMO1_ZMO0077	miaB	perfect	1.39613642931438e-13	0.529976919888428	1.58147281853802
ZMO1_ZMO0078	cheW	perfect	4.98595284410658e-10	0.195270592647931	-0.0603357695523505
ZMO1_ZMO0079	cheY	perfect	3.9192674964807e-11	-0.335814921615918	-0.162674352589363
ZMO1_ZMO0080	cheD	perfect	0.385063328376225	-0.694726120814706	-0.381091384383776
ZMO1_ZMO0081	cheB1	perfect	2.18472653687438e-07	0.0477017777990103	-0.218496993541637
ZMO1_ZMO0082	cheR	perfect	0.000742303989361717	0.955470742244467	0.275706339320934
ZMO1_ZMO0083	cheA1	perfect	2.55776634848033e-08	0.22911739605701	-0.0162223121204683
ZMO1_ZMO0084	cheX	perfect	0.00629125760969362	-0.471563665454425	-0.432240660416202
ZMO1_ZMO0085	mcp	perfect	0.000143037663749575	0.0734641957356464	0.371008700591785
ZMO1_ZMO0086	.	perfect	0.0228543522061843	0.135838239398112	-0.407284972274294
ZMO1_ZMO0087	.	perfect	2.59653535662809e-05	-0.293793495527515	0.121538495828937
ZMO1_ZMO0088	.	perfect	0.0264462915364884	-0.0160069932743575	0.350533109340643
ZMO1_ZMO0089	.	perfect	0.00589392490161084	-0.0961876582494113	0.324786107977044
ZMO1_ZMO0090	.	perfect	1.06342307128647e-07	-0.179982030640928	-0.108810365357198
ZMO1_ZMO0091	.	perfect	0.00169105249783711	0.232855157462312	-0.133424122651809
ZMO1_ZMO0092	.	perfect	1.32490359464066e-07	-2.09029890544527	0.061020786669027
ZMO1_ZMO0094	bioB	mismatch	3.01405512149633e-08	-6.23954512751374	-4.37072481570252
ZMO1_ZMO0094	bioB	perfect	3.09532369363294e-13	-7.23532654849442	-5.90575563803618
ZMO1_ZMO0095	.	mismatch	0.00456142342630336	-0.87228227139919	0.00257732165536873
ZMO1_ZMO0095	.	perfect	0.00224401641540099	-0.155530249438936	-0.366161088068899
ZMO1_ZMO0096	pgsA	mismatch	2.39067900713768e-16	-9.19744523852022	-8.02657155494219
ZMO1_ZMO0096	pgsA	perfect	2.18572888072168e-19	-10.8580991950174	-10.5822142716304
ZMO1_ZMO0099	.	perfect	0.00700648753436507	-0.263600389627128	-0.504197274534201
ZMO1_ZMO0100	.	perfect	0.515793746668109	-0.573461539004644	-0.463645047145519
ZMO1_ZMO0101	.	perfect	8.62470105257117e-08	-0.039090208063392	-0.220924466552789
ZMO1_ZMO0102	.	perfect	3.99995926119216e-05	-0.426253199417671	-2.66000300060185
ZMO1_ZMO0103	.	perfect	1.16992444141668e-07	-5.62945337056415	-3.90838454099135
ZMO1_ZMO0105	leuC	perfect	3.75462757163271e-06	-0.550051729073947	-2.48060929980061
ZMO1_ZMO0106	leuD	perfect	0.00192106878240442	0.26418427845212	-0.423293846990599
ZMO1_ZMO0107	.	mismatch	1.49019067304493e-11	-5.10932134969049	-6.23013500956399
ZMO1_ZMO0107	.	perfect	2.64444479849218e-07	-3.76260702733795	-4.87366196241906
ZMO1_ZMO0108	.	perfect	1.26447041075263e-06	-0.199775686823586	0.156755412986977
ZMO1_ZMO0109	.	mismatch	0.0519042826657733	1.02748887977939	1.46053724624149
ZMO1_ZMO0109	.	perfect	3.85488712867342e-05	-0.507386042110951	0.0269823318486252
ZMO1_ZMO0110	.	perfect	0.0245750784548187	-0.503655100969152	0.227246610659756
ZMO1_ZMO0111	.	perfect	0.135527387948478	-1.02245255229978	-0.780876844900865
ZMO1_ZMO0112	.	perfect	0.000298696312933521	-2.11033178912072	-1.93020347577317
ZMO1_ZMO0113	pabB	perfect	8.6832548206165e-10	0.0987504091229864	0.143948370443922
ZMO1_ZMO0114	trpGD	perfect	0.000773014820504232	0.139356707273033	-0.108662148477417
ZMO1_ZMO0115	pabC	perfect	0.0460704624673263	-0.282200985108674	0.690577441446313
ZMO1_ZMO0116	.	perfect	0.0455774189468873	-0.46921925842058	-0.729752571893465
ZMO1_ZMO0117	hcp	perfect	8.39596117404531e-08	0.192676601276159	0.0750654131509019
ZMO1_ZMO0119	nhaA	perfect	0.0309150970997155	-0.661134082351907	0.20324968434485
ZMO1_ZMO0120	.	mismatch	1.37173411081937e-06	-4.0567748624565	-4.37672983065126
ZMO1_ZMO0120	.	perfect	7.04354427214412e-06	-4.01294860318194	-4.22080416419025
ZMO1_ZMO0121	.	perfect	0.0189219018270255	-0.343160951856508	0.0342470065822452
ZMO1_ZMO0122	.	perfect	0.0498476486627657	-0.23734448096994	0.0299328745244694
ZMO1_ZMO0124	.	perfect	0.00272212172370285	-0.494656752150192	-0.21878479266905
ZMO1_ZMO0125	.	perfect	1.99562438738356e-06	-3.29922219443909	0.0513883464129391
ZMO1_ZMO0127	.	perfect	0.000296853938684274	-0.365773579866163	0.263476898951398
ZMO1_ZMO0128	.	perfect	3.34221389424866e-05	0.220599820801515	0.167677962152979
ZMO1_ZMO0130	phoC	perfect	0.00123426084012205	-0.246310763427277	-0.336373422448028
ZMO1_ZMO0131	.	perfect	8.7964725731501e-05	-0.621583608291637	-0.407689681758229
ZMO1_ZMO0132	.	perfect	0.186903431237473	-0.457508883359766	-0.126357670214901
ZMO1_ZMO0133	.	perfect	3.699753998851e-06	-0.4783436529496	-0.39000624458321
ZMO1_ZMO0134	.	perfect	0.000141061175197041	0.0775098467283825	-0.0769995257956789
ZMO1_ZMO0135	.	perfect	0.0664983097413259	-0.465231472088571	-0.0348915331688012
ZMO1_ZMO0136	.	perfect	0.000732080445251858	-0.0885340883468422	0.0088676108027558
ZMO1_ZMO0137	.	perfect	0.0436581431075246	-0.676348731734205	0.104055956897735
ZMO1_ZMO0139	.	perfect	3.90184156966889e-08	0.14954737192119	0.0369983902317305
ZMO1_ZMO0140	ptpA	perfect	1.93083874931555e-05	-0.521942837804465	-0.13262121974439
ZMO1_ZMO0142	.	mismatch	1.06106471753858e-05	-2.14493369781853	-3.84093592066175
ZMO1_ZMO0142	.	perfect	4.26958941714295e-09	-2.1953207542822	-5.1989622135391
ZMO1_ZMO0143	.	mismatch	0.0454602568507373	-0.282664835976693	-1.09831221366055
ZMO1_ZMO0143	.	perfect	0.0035282771452365	-0.139363648871852	-1.62548131869274
ZMO1_ZMO0144	nadB	mismatch	1.22255975283142e-09	-6.47671017631996	-7.39650738642027
ZMO1_ZMO0144	nadB	perfect	1.65126706540716e-15	-2.41730733700672	-5.51481509570158
ZMO1_ZMO0145	.	perfect	3.93764623346381e-08	0.277643806775536	-0.138136345622014
ZMO1_ZMO0148	.	perfect	0.00133203135334036	-0.754021043392931	-1.40267888663252
ZMO1_ZMO0149	trmB	perfect	0.000834218005657973	-0.167280991811914	0.211508251541274
ZMO1_ZMO0150	.	perfect	0.000303052407772766	-0.128958000013236	0.280310973910297
ZMO1_ZMO0152	pyk	mismatch	6.72130124765146e-19	-8.51763882820405	-7.41776097471077
ZMO1_ZMO0152	pyk	perfect	6.48015645488554e-13	-8.8741091770201	-8.81373542903613
ZMO1_ZMO0153	yebC	perfect	1.34309844625145e-14	-7.05560280314559	-7.02290636930223
ZMO1_ZMO0154	ruvC	perfect	9.64481740698507e-13	-5.20217190168408	-6.58648809998948
ZMO1_ZMO0155	ruvA	mismatch	0.00409496424412438	-0.86546115625064	-0.305275741392681
ZMO1_ZMO0155	ruvA	perfect	1.09316538121709e-05	-2.92335263603709	-3.15367788779677
ZMO1_ZMO0156	.	perfect	0.000576679568207355	0.386637821616416	-0.534076659272932
ZMO1_ZMO0157	lhdA	perfect	0.0274068245293599	-0.0603983577454886	-0.115358244009142
ZMO1_ZMO0158	ruvB	mismatch	2.01697017159159e-14	-5.8819005182711	-5.75269887084419
ZMO1_ZMO0158	ruvB	perfect	1.86716731972276e-15	-5.88297247037737	-7.53342637861516
ZMO1_ZMO0160	.	perfect	3.93707347040089e-06	-2.90857296227928	0.0747526124438727
ZMO1_ZMO0161	tolQ	perfect	0.0224009075801431	-0.861343338132117	-0.215916330059911
ZMO1_ZMO0162	tolR	perfect	0.0354818004188742	-1.05574333036156	-0.287662186774127
ZMO1_ZMO0164	tolA	perfect	0.138993622837809	-0.614460712494756	-0.365154119794674
ZMO1_ZMO0165	tolB	mismatch	0.000196783526758624	-0.638978196979192	-0.614142492172068
ZMO1_ZMO0165	tolB	perfect	0.29307503004744	-1.23059747070801	-0.61028139139154
ZMO1_ZMO0166	.	mismatch	0.36420512735081	-0.478249274448014	-0.766299929440873
ZMO1_ZMO0166	.	perfect	0.0491852348428865	-0.576521708141918	-0.214291543803379
ZMO1_ZMO0168		perfect	4.56101716979928e-06	-0.266270782100081	0.217872913772822
ZMO1_ZMO0169	.	perfect	9.28376399344211e-07	0.279699534401471	-0.0955102353152851
ZMO1_ZMO0171		perfect	0.00699687007702852	-0.58816453673797	-0.118160405576179
ZMO1_ZMO0172	thiC	perfect	7.17136984681526e-06	-0.0558419320127051	0.0903244697987645
ZMO1_ZMO0173	zapA	mismatch	0.000296264468177594	0.234809546968153	-0.146644333656326
ZMO1_ZMO0173	zapA	perfect	5.31555391593391e-05	0.262106367678074	0.213348687149909
ZMO1_ZMO0174	.	perfect	0.00138660131303669	-0.256062646685165	0.144434023204292
ZMO1_ZMO0175	.	perfect	9.94632796577493e-05	0.330007133528436	-0.266616720380742
ZMO1_ZMO0176	tklB	mismatch	1.41737672023625e-16	-8.19028445145117	-8.37951631828556
ZMO1_ZMO0176	tklB	perfect	3.14765884228243e-19	-10.6923565026524	-10.6880943623927
ZMO1_ZMO0177	gap	mismatch	5.35342404694068e-18	-9.64412604400641	-9.90779446766307
ZMO1_ZMO0177	gap	perfect	8.54236295208311e-19	-10.5815872391597	-9.26855175784524
ZMO1_ZMO0178	pgk	mismatch	1.37437831481034e-12	-6.8008005180648	-7.45969334722927
ZMO1_ZMO0178	pgk	perfect	7.62777474899366e-17	-9.17583135457251	-10.3447791622722
ZMO1_ZMO0179	fbaB	perfect	0.00155868250463177	-1.05092199296083	0.225465906241938
ZMO1_ZMO0180	ispG	mismatch	9.70112302957562e-13	-7.01628074462363	-6.13612871992014
ZMO1_ZMO0180	ispG	perfect	6.52490029045631e-13	-10.0404747417519	-10.150741672981
ZMO1_ZMO0182	ahcY	mismatch	0.209473805893629	-2.00433136505942	-1.81076800919474
ZMO1_ZMO0182	ahcY	perfect	1.31325875524358e-05	-0.630220388484993	-1.86666297134933
ZMO1_ZMO0183	.	mismatch	2.4110105034024e-06	-3.07381591790749	-3.7069549035077
ZMO1_ZMO0183	.	perfect	3.35678369978655e-06	-2.92012760705389	-3.50961995342218
ZMO1_ZMO0184	.	perfect	5.55924149243702e-07	-2.59957470051885	-1.43680390141993
ZMO1_ZMO0186	cysS	mismatch	4.00764405623985e-13	-8.53815253232696	-8.67954579301579
ZMO1_ZMO0186	cysS	perfect	1.09467821949822e-12	-11.145410668688	-8.88417584727525
ZMO1_ZMO0187	aroH	mismatch	3.46169728171017e-05	-5.33108019054323	-3.93509681336578
ZMO1_ZMO0187	aroH	perfect	6.70180355619828e-07	-7.28930651876931	-8.2891968353795
ZMO1_ZMO0188	fhuE	perfect	7.28991759741564e-06	-0.0729314949274747	0.341451520007591
ZMO1_ZMO0189	sdaA	perfect	4.6786493699848e-08	-2.69801612022085	-3.4952808352203
