locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	anaerobic_T1 - anaerobic_T0	aerobic_T1 - anaerobic_T1
ZMO1_ZMO0001	.	perfect	0.122362983968198	0.317263288853493	1
ZMO1_ZMO0002	hisC1	perfect	0.0632201863385418	0.939887641713876	0.210140023856543
ZMO1_ZMO0003	cysC	perfect	0.0244120758209563	0.940708235952856	0.239422558033277
ZMO1_ZMO0004	cysN	perfect	0.0039274094423242	0.826442149902669	0.0081499792674299
ZMO1_ZMO0005	cysD	perfect	0.0118606361602105	0.137346955688127	1
ZMO1_ZMO0006	cysG1	perfect	0.0431553602790097	0.999230425008369	1
ZMO1_ZMO0007	cysH	perfect	0.00711666961145127	0.176179493363701	0.212427469350253
ZMO1_ZMO0008	cysI	perfect	6.60400889476331e-06	0.914401518530458	0.000940731151508365
ZMO1_ZMO0009	cysJ	perfect	0.00995559767438636	0.0922953220050358	0.0705031914117054
ZMO1_ZMO0010	.	perfect	0.00112900289750804	0.832659614107136	0.295185716666024
ZMO1_ZMO0011	.	perfect	0.276324989368701	0.446957279685451	0.24688737906291
ZMO1_ZMO0012	hemN1	perfect	0.910295218190861	0.638522543375195	1
ZMO1_ZMO0013	.	perfect	0.710744424748865	0.440127930439408	0.700624571436816
ZMO1_ZMO0014	rph	perfect	2.46748209258502e-06	4.21696449650242e-07	0.00465837008594713
ZMO1_ZMO0015	hrcA	perfect	0.853198415990773	0.535827964736115	0.60527297459737
ZMO1_ZMO0016	grpE	perfect	0.000137706609412638	1.12865010389179e-05	1
ZMO1_ZMO0017	.	perfect	0.00649517219140348	0.952236002382839	1
ZMO1_ZMO0018	rpe	perfect	6.75989505803668e-23	1.69061506821429e-21	0.00765582206281299
ZMO1_ZMO0019	.	perfect	2.33859070601499e-10	0.638629671860717	3.92788628768255e-07
ZMO1_ZMO0020	.	perfect	0.000827332864770325	2.03956413053574e-06	0.157223165264023
ZMO1_ZMO0021	ykgF	perfect	0.000380308160375742	0.00792722930457417	0.854775508081358
ZMO1_ZMO0022	.	perfect	0.0395285275239809	0.0287527586410635	1
ZMO1_ZMO0023	.	perfect	0.0607722697549668	0.715674690440527	0.900729456726645
ZMO1_ZMO0025	.	perfect	2.08071250960123e-06	0.00079508879870955	1
ZMO1_ZMO0026	.	perfect	0.000423002406224959	0.108480555113259	1
ZMO1_ZMO0027	purH	perfect	0.711165991621549	0.000279961079969397	0.00364120143973627
ZMO1_ZMO0028	.	perfect	0.0204443340401536	0.0855323418482365	1
ZMO1_ZMO0029	.	perfect	0.00497066261792689	0.984693770684448	0.458375430267203
ZMO1_ZMO0030	gloA1	perfect	0.783884349199341	0.173023825192456	1
ZMO1_ZMO0031	.	perfect	1	0.65096492061209	1
ZMO1_ZMO0033	.	perfect	0.375488035760712	0.0875403702372426	0.511738773262617
ZMO1_ZMO0035	.	perfect	0.0198929293269282	0.450263954679355	0.529187100261931
ZMO1_ZMO0036	.	perfect	0.0987897548449845	0.249371941274821	1
ZMO1_ZMO0037	nagE1	perfect	6.09081269748572e-06	1.09416134135004e-08	1
ZMO1_ZMO0038	.	perfect	0.980418143570355	0.0778876268468803	0.224842616777439
ZMO1_ZMO0039	dnaQ	perfect	3.2151912339757e-13	7.47290648599847e-09	0.0108522127871683
ZMO1_ZMO0040	coaE	perfect	2.48450351305324e-08	3.22086333034984e-07	1
ZMO1_ZMO0041	aroE	perfect	2.04011195155779e-18	6.54285299403848e-22	0.00302493447301686
ZMO1_ZMO0043	.	perfect	0.0128490654520858	0.0218294944608229	1
ZMO1_ZMO0044	.	perfect	0.670384316453647	0.517307688773191	1
ZMO1_ZMO0047	.	perfect	0.00512348932995771	0.0709916637010756	0.957657541776224
ZMO1_ZMO0050	.	perfect	0.0229372899983521	0.398685330579094	0.869839465861989
ZMO1_ZMO0052	cynX	perfect	0.000229323672831198	0.861982274501397	0.0879186693390055
ZMO1_ZMO0053	pcaD	perfect	5.95460507264215e-08	4.84431643558624e-06	0.433346140797373
ZMO1_ZMO0054	marR	perfect	6.41309635780742e-08	0.299679082195007	2.37151312043414e-05
ZMO1_ZMO0055	.	perfect	0.476428575650322	0.0299957444642867	0.958193547995859
ZMO1_ZMO0056	glmS	perfect	1.62195637451226e-09	1.24033839482629e-07	1
ZMO1_ZMO0057	.	perfect	0.266631481513804	0.107994693481305	0.344076822347236
ZMO1_ZMO0059	glxK	perfect	0.000138334032352467	0.00142795654735043	0.186344202012876
ZMO1_ZMO0060	.	perfect	1.78879114296848e-07	0.00983352462517496	0.213515481902826
ZMO1_ZMO0061	.	perfect	0.00212344549614371	0.00244524245734798	0.213974714216876
ZMO1_ZMO0062	.	perfect	0.0611906148299964	0.369825494800912	1
ZMO1_ZMO0064	oprB1	perfect	3.72991539711048e-05	3.06683895272307e-05	0.0238594129560908
ZMO1_ZMO0066	.	perfect	0.0868876247278675	0.369313112665614	1
ZMO1_ZMO0068	.	perfect	0.455306231901056	0.748874197682969	1
ZMO1_ZMO0069	.	perfect	0.0235310048641631	0.15305489562806	1
ZMO1_ZMO0070	grxB1	perfect	0.129878339437275	0.630424117317193	1
ZMO1_ZMO0072	.	perfect	0.964550841832089	0.443337598057736	1
ZMO1_ZMO0073	.	perfect	0.0700755630546672	0.494118242047309	0.927682187599881
ZMO1_ZMO0074	.	perfect	5.28469343129155e-17	2.34984489771001e-15	1
ZMO1_ZMO0075	phoH	perfect	0.771326862798768	0.000136743230090085	0.00319304521657859
ZMO1_ZMO0077	miaB	perfect	7.14531753986963e-06	7.07819696181024e-16	0.0277197307771249
ZMO1_ZMO0078	cheW	perfect	2.07963297327311e-06	0.062419597537779	0.00402640894755608
ZMO1_ZMO0079	cheY	perfect	4.63185076763336e-08	0.0136852845860141	2.52451484690387e-07
ZMO1_ZMO0080	cheD	perfect	0.778623534322633	0.793562075251656	1
ZMO1_ZMO0081	cheB1	perfect	0.000197917281416549	0.496834188280499	0.183302294666548
ZMO1_ZMO0082	cheR	perfect	0.0123771195565064	0.363255268615583	1
ZMO1_ZMO0083	cheA1	perfect	8.68672776559152e-06	0.0459890653361665	0.126213058051348
ZMO1_ZMO0084	cheX	perfect	0.0125042631225073	0.78173252043018	0.360668446899145
ZMO1_ZMO0085	mcp	perfect	0.0366805873720004	0.149546612175429	0.870566523520259
ZMO1_ZMO0086	.	perfect	0.0582111111788776	0.904524211752401	0.961772417434524
ZMO1_ZMO0087	.	perfect	0.328728877806115	0.0404260223752803	0.941471088894976
ZMO1_ZMO0088	.	perfect	0.286289427113229	0.196163156941863	0.898782960500389
ZMO1_ZMO0089	.	perfect	0.334217846698256	0.576357879757665	1
ZMO1_ZMO0090	.	perfect	0.000864551453154215	0.0243495732917502	0.914651108548989
ZMO1_ZMO0091	.	perfect	0.0292964371925398	0.141395020529664	0.242931005288015
ZMO1_ZMO0092	.	perfect	1.7083216130236e-08	5.37938413699029e-05	6.83195238894139e-07
ZMO1_ZMO0094	bioB	perfect	1.63252825798387e-16	3.63140558910829e-14	1
ZMO1_ZMO0095	.	perfect	0.00214398177529513	0.807357871974025	1
ZMO1_ZMO0096	pgsA	perfect	2.57436341901516e-23	1.42123052564629e-23	1
ZMO1_ZMO0099	.	perfect	0.26683762133925	0.881635286684677	0.0899549462482564
