HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_ATCC_17978	Aggregatibacter_actinomycetemcomitans_624	Aggregatibacter_actinomycetemcomitans_VT1169	Agrobacterium_fabrum	Azoarcus_olearius_DQS-4	Bacteroides_thetaiotaomicron_VPI-5482	Bradyrhizobium_diazoefficiens	Brevundimonas_subvibrioides	Burkholderia_cenocepacia_J2315	Campylobacter_jejuni_81-176	Caulobacter_crescentus	Caulobacter_vibrioides	Citrobacter_rodentium_ICC168	Clostridium_difficile_R20291	Enterobacter_cloacae_ATCC_13047	Escherichia_coli_BW25113	Escherichia_coli_Nissle_1917	Escherichia_coli_UTI89	Francisella_tularensis_Schu_S4	Herbaspirillum_seropedicae_SmR1	Klebsiella_pneumoniae_ATCC_43816_KPPR1	Legionella_pneumophila_Philadelphia_1	Mycobacterium_tuberculosis_H37Rv	Neisseria_meningitidis_Z2491	Novosphingobium_aromaticivorans	Porphyromonas_gingivalis_ATCC_33277	Providencia_stuartii_BE2467	Pseudomonas_aeruginosa_PAO1	Pseudomonas_aeruginosa_UCBPP-PA14	Pseudomonas_simiae_WCS417	Pseudomonas_syringae_B728a	Ralstonia_solanacearum_GMI1000	Ralstonia_solanacearum_IBSBF1503	Ralstonia_solanacearum_PSI07	Rhodobacter_sphaeroides	Rhodopseudomonas_palustris	Salmonella_enterica_14028S	Salmonella_typhi_CT18	Salmonella_typhimurium_SL1344	Snodgrassella_alvi_wkB2	Sphingomonas_wittichii	Staphylococcus_aureus_6850	Staphylococcus_aureus_MRSA252	Staphylococcus_aureus_MSSA476	Staphylococcus_aureus_NCTC_8325	Staphylococcus_aureus_USA300_TCH1516	Streptococcus_agalactiae_A909	Streptococcus_pneumoniae_BHN97x	Streptococcus_pneumoniae_TIGR4	Streptococcus_pyogenes_5448	Vibrio_anguillarum_425	Vibrio_cholerae_N16961	Vibrio_fischeri_ES114	Yersinia_pestis_CO92	Zymomonas_mobilis
N0.HOG0000000	OG0000000	n13				At1D132_47070																Hsero_3086	VK055_2773																																		
N0.HOG0000001	OG0000000	n18				At1D132_10870, At1D132_00640			BA000040v2__3639, BA000040v2__3640																													RPA1399, RPA0129																			
N0.HOG0000002	OG0000000	n24				At1D132_47890																			Rv1238																																
N0.HOG0000003	OG0000000	n26																							Rv2038c, Rv2832c																																
N0.HOG0000004	OG0000000	n32				At1D132_28000, At1D132_29990			BA000040v2__732		BCAL0285				ROD_43781		ECL_04808	BW25113_3450	ECOLIN_19080	UTI89_C3957		Hsero_3792	VK055_3660											RSc1267	RALBFv3_15550	RPSI07_2098	RSP_3287	RPA0055	STM14_4280	AL513382v1__8619	SL1344_3520															YPO3793	
N0.HOG0000005	OG0000000	n51				At1D132_29080, At1D132_29820, At1D132_28300, At1D132_30430, At1D132_40900, At1D132_21920, At1D132_43100, At1D132_39820			BA000040v2__3989													Hsero_3337											Psyr_4505				RSP_3677	RPA3471																VC_1552		YPO3469	
N0.HOG0000006	OG0000000	n69		ACT75_11070	ACT74_01945						BCAL2804				ROD_37101		ECL_00292	BW25113_4035	ECOLIN_22550	UTI89_C4605		Hsero_0444	VK055_3049											RSc2140					STM14_5086	AL513382v1__9032	SL1344_4167													VC_A0946	VF_A0800	YPO3712	
N0.HOG0000007	OG0000000	n85									BCAS0324, BCAM2806											Hsero_4553, Hsero_0274																																		YPO1896	
N0.HOG0000008	OG0000000	n89				At1D132_42540, At1D132_02220, At1D132_31440, At1D132_29810, At1D132_41490			BA000040v2__3292	Bresu_1467																				PA2341	PA14_34370	PS417_12700	Psyr_2437				RSP_3948, RSP_2870, RSP_0094																				
N0.HOG0000009	OG0000000	n102				At1D132_37270, At1D132_22770, At1D132_29200, At1D132_47270, At1D132_29590, At1D132_29120			BA000040v2__1938								ECL_02648						VK055_2125										Psyr_0759				RSP_1445																			YPO0857	
