chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
ZM4	116	3706	ZMO1_ZMO0001,ZMO1_ZMO0002;1	ZMO1_ZMO0001	1	.	+	ZMO1_ZMO0001	TonB-dependent receptor	AVZ41384.1
ZM4	116	3706	ZMO1_ZMO0001,ZMO1_ZMO0002;1	ZMO1_ZMO0002	1	.	+	hisC1	histidinol-phosphate aminotransferase HisC	AVZ41385.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0003	1	.	-	cysC	adenylyl-sulfate kinase	AVZ41386.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0004	1	.	-	cysN	sulfate adenylyltransferase large subunit	AVZ41387.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0005	1	.	-	cysD	sulfate adenylyltransferase small subunit	AVZ41388.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0006	1	.	-	cysG1	siroheme synthase CysG	AVZ41389.1
ZM4	3697	8216	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;2	ZMO1_ZMO0003	2	.	-	cysC	adenylyl-sulfate kinase	AVZ41386.1
ZM4	3697	8216	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;2	ZMO1_ZMO0004	2	.	-	cysN	sulfate adenylyltransferase large subunit	AVZ41387.1
ZM4	3697	8216	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;2	ZMO1_ZMO0005	2	.	-	cysD	sulfate adenylyltransferase small subunit	AVZ41388.1
ZM4	3697	8216	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;2	ZMO1_ZMO0006	2	.	-	cysG1	siroheme synthase CysG	AVZ41389.1
ZM4	8342	12773	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0007	1	.	-	cysH	phosphoadenosine phosphosulfate reductase	AVZ41390.1
ZM4	8342	12773	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0008	1	.	-	cysI	sulfite reductase (NADPH) hemoprotein beta-component	AVZ41391.1
ZM4	8342	12773	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0009	1	.	-	cysJ	sulfite reductase (NADPH) flavoprotein alpha chain	AVZ41392.1
ZM4	12896	14519	ZMO1_ZMO0010;1	ZMO1_ZMO0010	1	.	+	ZMO1_ZMO0010	DUF45 domain-containing protein	AVZ41393.1
ZM4	13006	13716	ZMO1_ZMO0010;2	ZMO1_ZMO0010	2	.	+	ZMO1_ZMO0010	DUF45 domain-containing protein	AVZ41393.1
ZM4	13531	14498	ZMO1_ZMO0011;1	ZMO1_ZMO0011	1	.	-	ZMO1_ZMO0011	uncharacterized protein	AVZ41394.1
