HOG	OG	Gene Tree Parent Clade	Zymomonas_mobilis_ATCC10988	Zymomonas_mobilis_GLBRC	Zymomonas_mobilis_ZM4
N0.HOG0000000	OG0000000	n0	Zmob_0904, Zmob_1411, Zmob_1248, Zmob_0780, Zmob_1255, Zmob_1101, Zmob_0827, Zmob_1843, Zmob_0082, Zmob_0822, Zmob_0384, Zmob_0595, Zmob_1363, Zmob_0820, Zmob_0051, Zmob_0733, Zmob_1491, Zmob_0074, Zmob_0448, Zmob_0500, Zmob_1093, Zmob_1172, Zmob_1444, Zmob_0197, Zmob_1849, Zmob_1224, Zmob_1797, Zmob_1462, Zmob_1573, Zmob_0099, Zmob_0624, Zmob_1339, Zmob_1796, Zmob_1175		
N0.HOG0000001	OG0000001	n1	Zmob_0824	ZMO1_ZMO0267	ZMO0267
N0.HOG0000002	OG0000001	n4		ZMO1_ZMO0263	ZMO0263
N0.HOG0000003	OG0000001	n6		ZMO1_ZMO0265	ZMO0265
N0.HOG0000004	OG0000001	n8	Zmob_0823	ZMO1_ZMO0266	ZMO0266
N0.HOG0000005	OG0000001	n12		ZMO1_ZMO0269	ZMO0269
N0.HOG0000006	OG0000001	n14	Zmob_0829	ZMO1_ZMO0268	ZMO0268
N0.HOG0000007	OG0000001	n16	Zmob_0828	ZMO1_ZMO0270	ZMO0270
N0.HOG0000008	OG0000001	n18	Zmob_0825	ZMO1_ZMO0264	ZMO0264
N0.HOG0000009	OG0000002	n1	Zmob_1642	ZMO1_ZMO1475	ZMO1475
N0.HOG0000010	OG0000002	n4	Zmob_1747	ZMO1_ZMO0561	ZMO0561
N0.HOG0000011	OG0000002	n6	Zmob_1206	ZMO1_ZMO1298, ZMO1_ZMO1986	ZMO1298, ZMO1986
N0.HOG0000012	OG0000003	n1	Zmob_1821	ZMO1_ZMOp33x031	
N0.HOG0000013	OG0000003	n4	Zmob_1801	ZMO1_ZMOp32x011, ZMO1_ZMOp39x034	
N0.HOG0000014	OG0000003	n6	Zmob_1759	ZMO1_ZMOp36x032, ZMO1_ZMOp36x031, ZMO1_ZMOp39x002	
N0.HOG0000015	OG0000004	n1	Zmob_0205	ZMO1_ZMO1122	ZMO1122
N0.HOG0000016	OG0000004	n4	Zmob_0804	ZMO1_ZMO0244	ZMO0244
N0.HOG0000017	OG0000004	n6	Zmob_1352	ZMO1_ZMO1801	ZMO1801
N0.HOG0000018	OG0000005	n1	Zmob_1322	ZMO1_ZMO1832	ZMO1832
N0.HOG0000019	OG0000005	n4	Zmob_1705	ZMO1_ZMO1402	ZMO1402
N0.HOG0000020	OG0000005	n6	Zmob_0963	ZMO1_ZMO0429	ZMO0429
N0.HOG0000021	OG0000006	n0		ZMO1_ZMOp36x018, ZMO1_ZMOp36x051, ZMO1_ZMOp36x048, ZMO1_ZMOp36x019, ZMO1_ZMOp36x052, ZMO1_ZMOp36x020, ZMO1_ZMOp36x049, ZMO1_ZMOp36x050, ZMO1_ZMOp36x022	
N0.HOG0000022	OG0000007	n0	Zmob_1804, Zmob_1826, Zmob_1856	ZMO1_ZMOp33x029, ZMO1_ZMOp39x033, ZMO1_ZMOp36x035, ZMO1_ZMOp32x015	
N0.HOG0000023	OG0000008	n1	Zmob_0093	ZMO1_ZMO1248	ZMO1248
N0.HOG0000024	OG0000008	n3	Zmob_0092	ZMO1_ZMO1249	ZMO1249
N0.HOG0000025	OG0000009	n1	Zmob_1540	ZMO1_ZMO1598	ZMO1598
N0.HOG0000026	OG0000009	n3	Zmob_0102	ZMO1_ZMO1234	ZMO1234
N0.HOG0000027	OG0000010	n1	Zmob_0216	ZMO1_ZMO1107	ZMO1107
N0.HOG0000028	OG0000010	n3	Zmob_1671	ZMO1_ZMO1438	ZMO1438
N0.HOG0000029	OG0000011	n1	Zmob_0718	ZMO1_ZMO0110	ZMO0110
N0.HOG0000030	OG0000011	n3	Zmob_0358	ZMO1_ZMO0947	ZMO0947
N0.HOG0000031	OG0000012	n1	Zmob_0412	ZMO1_ZMO0888	ZMO0888
N0.HOG0000032	OG0000012	n3	Zmob_1652	ZMO1_ZMO1455	ZMO1455
N0.HOG0000033	OG0000013	n1	Zmob_0443	ZMO1_ZMO0853	ZMO0853
N0.HOG0000034	OG0000013	n3	Zmob_0517	ZMO1_ZMO0773	ZMO0773
N0.HOG0000035	OG0000014	n1	Zmob_0502	ZMO1_ZMO0789	ZMO0789
N0.HOG0000036	OG0000014	n3	Zmob_0702	ZMO1_ZMO0128	ZMO0128
N0.HOG0000037	OG0000015	n1	Zmob_1523	ZMO1_ZMO1615	ZMO1615
N0.HOG0000038	OG0000015	n3	Zmob_0568	ZMO1_ZMO0718	ZMO0718
N0.HOG0000039	OG0000016	n1	Zmob_0713	ZMO1_ZMO0114	ZMO0114
N0.HOG0000040	OG0000016	n3	Zmob_0638	ZMO1_ZMO0201	ZMO0201
N0.HOG0000041	OG0000017	n1	Zmob_0726	ZMO1_ZMO0100	ZMO0100
