chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
ZM4	116	4219	ZMO1_ZMO0001,ZMO1_ZMO0002;1	ZMO1_ZMO0001	1	.	+	ZMO1_ZMO0001	TonB-dependent receptor	AVZ41384.1
ZM4	116	4219	ZMO1_ZMO0001,ZMO1_ZMO0002;1	ZMO1_ZMO0002	1	.	+	hisC1	histidinol-phosphate aminotransferase HisC	AVZ41385.1
ZM4	147	4038	ZMO1_ZMO0001,ZMO1_ZMO0002;2	ZMO1_ZMO0001	2	.	+	ZMO1_ZMO0001	TonB-dependent receptor	AVZ41384.1
ZM4	147	4038	ZMO1_ZMO0001,ZMO1_ZMO0002;2	ZMO1_ZMO0002	2	.	+	hisC1	histidinol-phosphate aminotransferase HisC	AVZ41385.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0003	1	.	-	cysC	adenylyl-sulfate kinase	AVZ41386.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0004	1	.	-	cysN	sulfate adenylyltransferase large subunit	AVZ41387.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0005	1	.	-	cysD	sulfate adenylyltransferase small subunit	AVZ41388.1
ZM4	3697	8385	ZMO1_ZMO0003,ZMO1_ZMO0004,ZMO1_ZMO0005,ZMO1_ZMO0006;1	ZMO1_ZMO0006	1	.	-	cysG1	siroheme synthase CysG	AVZ41389.1
ZM4	8386	12848	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0007	1	.	-	cysH	phosphoadenosine phosphosulfate reductase	AVZ41390.1
ZM4	8386	12848	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0008	1	.	-	cysI	sulfite reductase (NADPH) hemoprotein beta-component	AVZ41391.1
ZM4	8386	12848	ZMO1_ZMO0007,ZMO1_ZMO0008,ZMO1_ZMO0009;1	ZMO1_ZMO0009	1	.	-	cysJ	sulfite reductase (NADPH) flavoprotein alpha chain	AVZ41392.1
ZM4	12999	13716	ZMO1_ZMO0010;1	ZMO1_ZMO0010	1	.	+	ZMO1_ZMO0010	DUF45 domain-containing protein	AVZ41393.1
ZM4	13471	14501	ZMO1_ZMO0011;1	ZMO1_ZMO0011	1	.	-	ZMO1_ZMO0011	uncharacterized protein	AVZ41394.1
ZM4	14548	17182	ZMO1_ZMO0012,ZMO1_ZMO0013,ZMO1_ZMO0014;1	ZMO1_ZMO0012	1	.	-	hemN1	coproporphyrinogen III oxidase	AVZ41395.1
ZM4	14548	17182	ZMO1_ZMO0012,ZMO1_ZMO0013,ZMO1_ZMO0014;1	ZMO1_ZMO0013	1	.	-	ZMO1_ZMO0013	rdgB/HAM1 family non-canonical purine NTP pyrophosphatase	AVZ41396.1
ZM4	14548	17182	ZMO1_ZMO0012,ZMO1_ZMO0013,ZMO1_ZMO0014;1	ZMO1_ZMO0014	1	.	-	rph	ribonuclease PH	AVZ41397.1
ZM4	17319	20401	ZMO1_ZMO0015,ZMO1_ZMO0016,ZMO1_ZMO0017;1	ZMO1_ZMO0015	1	.	+	hrcA	heat-inducible transcription repressor HrcA	AVZ41398.1
ZM4	17319	20401	ZMO1_ZMO0015,ZMO1_ZMO0016,ZMO1_ZMO0017;1	ZMO1_ZMO0016	1	.	+	grpE	GrpE protein	AVZ41399.1
ZM4	17319	20401	ZMO1_ZMO0015,ZMO1_ZMO0016,ZMO1_ZMO0017;1	ZMO1_ZMO0017	1	.	+	ZMO1_ZMO0017	RsmB-like methyltransferase	AVZ41400.1
ZM4	17333	18994	ZMO1_ZMO0015,ZMO1_ZMO0016;1	ZMO1_ZMO0015	1	.	+	hrcA	heat-inducible transcription repressor HrcA	AVZ41398.1
ZM4	17333	18994	ZMO1_ZMO0015,ZMO1_ZMO0016;1	ZMO1_ZMO0016	1	.	+	grpE	GrpE protein	AVZ41399.1
ZM4	18995	20401	ZMO1_ZMO0017;1	ZMO1_ZMO0017	1	.	+	ZMO1_ZMO0017	RsmB-like methyltransferase	AVZ41400.1
ZM4	20402	23041	ZMO1_ZMO0018,ZMO1_ZMO0019;1	ZMO1_ZMO0018	1	.	+	rpe	ribulose-phosphate 3-epimerase	AVZ41401.1
ZM4	20402	23041	ZMO1_ZMO0018,ZMO1_ZMO0019;1	ZMO1_ZMO0019	1	.	+	ZMO1_ZMO0019	heparinase II/III family protein	AVZ41402.1
ZM4	23104	26012	ZMO1_ZMO0020,ZMO1_ZMO0021,ZMO1_ZMO0022;1	ZMO1_ZMO0020	1	.	-	ZMO1_ZMO0020	LUD domain-containing protein	AVZ41403.1
ZM4	23104	26012	ZMO1_ZMO0020,ZMO1_ZMO0021,ZMO1_ZMO0022;1	ZMO1_ZMO0021	1	.	-	ykgF	iron-sulfur cluster-binding protein YkgF	AVZ41404.1
ZM4	23104	26012	ZMO1_ZMO0020,ZMO1_ZMO0021,ZMO1_ZMO0022;1	ZMO1_ZMO0022	1	.	-	ZMO1_ZMO0022	Fe-S oxidoreductase	AVZ41405.1
ZM4	26346	26829	ZMO1_ZMO0023;1	ZMO1_ZMO0023	1	.	-	ZMO1_ZMO0023	AsnC family transcriptional regulator	AVZ41406.1
ZM4	26916	27854	ZMO1_ZMO0025;1	ZMO1_ZMO0025	1	.	+	ZMO1_ZMO0025	EamA/RhaT family transporter	AVZ41407.1
ZM4	28029	29014	ZMO1_ZMO0026;1	ZMO1_ZMO0026	1	.	+	ZMO1_ZMO0026	Sel1 domain protein repeat-containing protein	AVZ41408.1
ZM4	29147	30897	ZMO1_ZMO0027;1	ZMO1_ZMO0027	1	.	+	purH	bifunctional phosphoribosyl aminoimidazole carboxamide formyltransferase/IMP cyclohydrolase	AVZ41409.1
ZM4	30898	32139	ZMO1_ZMO0028;2	ZMO1_ZMO0028	2	.	+	ZMO1_ZMO0028	restriction endonuclease	AVZ41410.1
ZM4	31061	32006	ZMO1_ZMO0028;1	ZMO1_ZMO0028	1	.	+	ZMO1_ZMO0028	restriction endonuclease	AVZ41410.1
ZM4	32036	33939	ZMO1_ZMO0029;1	ZMO1_ZMO0029	1	.	-	ZMO1_ZMO0029	Sel1 domain protein repeat-containing protein	AVZ41411.1
ZM4	34072	34777	ZMO1_ZMO0030;1	ZMO1_ZMO0030	1	.	+	gloA1	glyoxalase/bleomycin resistance protein/dioxygenase	AVZ41412.1
ZM4	34635	37098	ZMO1_ZMO0031;1	ZMO1_ZMO0031	1	.	-	ZMO1_ZMO0031	TonB-dependent receptor	AVZ41413.2
ZM4	37386	38165	ZMO1_ZMO0033;1	ZMO1_ZMO0033	1	.	-	ZMO1_ZMO0033	putative zinc- or iron-chelating domain-containing protein	AVZ41414.1
ZM4	37958	38848	ZMO1_ZMO0035;1	ZMO1_ZMO0035	1	.	+	ZMO1_ZMO0035	ankyrin repeat domain-containing protein	AVZ41415.1
ZM4	38297	39599	ZMO1_ZMO0036,ZMO1_ZMO0037;1	ZMO1_ZMO0036	1	.	-	ZMO1_ZMO0036	DUF1491 domain-containing protein	AVZ41416.1
ZM4	38297	39599	ZMO1_ZMO0036,ZMO1_ZMO0037;1	ZMO1_ZMO0037	1	.	-	nagE1	PTS IIA-like nitrogen-regulatory protein PtsN/NagE	AVZ41417.1
ZM4	38598	39601	ZMO1_ZMO0036,ZMO1_ZMO0037;2	ZMO1_ZMO0036	2	.	-	ZMO1_ZMO0036	DUF1491 domain-containing protein	AVZ41416.1
ZM4	38598	39601	ZMO1_ZMO0036,ZMO1_ZMO0037;2	ZMO1_ZMO0037	2	.	-	nagE1	PTS IIA-like nitrogen-regulatory protein PtsN/NagE	AVZ41417.1
ZM4	39601	40276	ZMO1_ZMO0038;1	ZMO1_ZMO0038	1	.	-	ZMO1_ZMO0038	ribosomal protein S30Ae/sigma 54 modulation protein	AVZ41418.1
ZM4	40255	43140	ZMO1_ZMO0039,ZMO1_ZMO0040,ZMO1_ZMO0041,ZMO1_ZMO0043;1	ZMO1_ZMO0039	1	.	-	dnaQ	DNA polymerase III epsilon subunit	AVZ41419.1
ZM4	40255	43140	ZMO1_ZMO0039,ZMO1_ZMO0040,ZMO1_ZMO0041,ZMO1_ZMO0043;1	ZMO1_ZMO0040	1	.	-	coaE	dephospho-CoA kinase	AVZ41420.1
ZM4	40255	43140	ZMO1_ZMO0039,ZMO1_ZMO0040,ZMO1_ZMO0041,ZMO1_ZMO0043;1	ZMO1_ZMO0041	1	.	-	aroE	shikimate 5-dehydrogenase	AVZ41421.1
ZM4	40255	43140	ZMO1_ZMO0039,ZMO1_ZMO0040,ZMO1_ZMO0041,ZMO1_ZMO0043;1	ZMO1_ZMO0043	1	.	-	ZMO1_ZMO0043	Maf family protein	AVZ41422.1
ZM4	43594	45483	ZMO1_ZMO0044;1	ZMO1_ZMO0044	1	.	+	ZMO1_ZMO0044	Sel1 domain protein repeat-containing protein	AVZ41423.1
ZM4	45398	46003	ZMO1_ZMO0047;1	ZMO1_ZMO0047	1	.	-	ZMO1_ZMO0047	lysine exporter protein (LYSE/YGGA)	AVZ41424.1
ZM4	46171	47183	ZMO1_ZMO0050;1	ZMO1_ZMO0050	1	.	+	ZMO1_ZMO0050	LysR family transcriptional regulator	AVZ41425.1
ZM4	47274	49228	ZMO1_ZMO0052,ZMO1_ZMO0053;1	ZMO1_ZMO0052	1	.	-	cynX	cyanate permease CynX	AVZ41426.1
ZM4	47274	49228	ZMO1_ZMO0052,ZMO1_ZMO0053;1	ZMO1_ZMO0053	1	.	-	pcaD	alpha/beta hydrolase fold protein	AVZ41427.1
ZM4	49348	49884	ZMO1_ZMO0054;1	ZMO1_ZMO0054	1	.	+	marR	MarR family transcriptional regulator	AVZ41428.1
ZM4	49953	50953	ZMO1_ZMO0055;1	ZMO1_ZMO0055	1	.	-	ZMO1_ZMO0055	anion permerase	AVZ41429.1
ZM4	50893	52834	ZMO1_ZMO0056;1	ZMO1_ZMO0056	1	.	-	glmS	glucosamine/fructose-6-phosphate isomerizing aminotransferase	AVZ41430.1
ZM4	52835	53502	ZMO1_ZMO0057;1	ZMO1_ZMO0057	1	.	-	ZMO1_ZMO0057	bacterial PH domain-containing protein	AVZ41431.1
ZM4	53613	54857	ZMO1_ZMO0059;1	ZMO1_ZMO0059	1	.	+	glxK	glycerate kinase	AVZ41432.1
ZM4	54699	55080	ZMO1_ZMO0060;1	ZMO1_ZMO0060	1	.	-	ZMO1_ZMO0060	uncharacterized protein	AVZ41433.1
ZM4	54711	56424	ZMO1_ZMO0060,ZMO1_ZMO0061;1	ZMO1_ZMO0060	1	.	-	ZMO1_ZMO0060	uncharacterized protein	AVZ41433.1
ZM4	54711	56424	ZMO1_ZMO0060,ZMO1_ZMO0061;1	ZMO1_ZMO0061	1	.	-	ZMO1_ZMO0061	histidine acid phosphatase	AVZ41434.1
ZM4	55081	56424	ZMO1_ZMO0061;1	ZMO1_ZMO0061	1	.	-	ZMO1_ZMO0061	histidine acid phosphatase	AVZ41434.1
ZM4	56425	57599	ZMO1_ZMO0062;1	ZMO1_ZMO0062	1	.	-	ZMO1_ZMO0062	aldo/keto reductase	AVZ41435.1
ZM4	57796	59457	ZMO1_ZMO0064;1	ZMO1_ZMO0064	1	.	-	oprB1	carbohydrate-selective porin OprB	AVZ41436.1
ZM4	59627	59896	ZMO1_ZMO0066;1	ZMO1_ZMO0066	1	.	+	ZMO1_ZMO0066	hypothetical protein	AVZ41437.1
ZM4	60132	61364	ZMO1_ZMO0068;1	ZMO1_ZMO0068	1	.	+	ZMO1_ZMO0068	Sel1 domain protein repeat-containing protein	AVZ41438.1
ZM4	61548	62067	ZMO1_ZMO0069;1	ZMO1_ZMO0069	1	.	+	ZMO1_ZMO0069	major tail tube protein	AVZ41439.1
