chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
pZM33	36	2312	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;1	ZMO1_ZMOp33x003	1	.	-	ZMO1_ZMOp33x003	CopG family transcriptional regulator	AVZ43153.1
pZM33	36	2312	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;1	ZMO1_ZMOp33x004	1	.	-	ZMO1_ZMOp33x004	CobQ/CobB/MinD/ParA nucleotide binding domain protein	AVZ43154.1
pZM33	245	1306	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;1	ZMO1_ZMOp33x001	1	.	+	ZMO1_ZMOp33x001	hypothetical protein	AVZ43151.1
pZM33	245	1306	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;1	ZMO1_ZMOp33x002	1	.	+	ZMO1_ZMOp33x002	putative Zeta toxin-like kinase	AVZ43152.1
pZM33	410	1224	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;2	ZMO1_ZMOp33x001	2	.	+	ZMO1_ZMOp33x001	hypothetical protein	AVZ43151.1
pZM33	410	1224	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;2	ZMO1_ZMOp33x002	2	.	+	ZMO1_ZMOp33x002	putative Zeta toxin-like kinase	AVZ43152.1
pZM33	1358	2306	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;2	ZMO1_ZMOp33x003	2	.	-	ZMO1_ZMOp33x003	CopG family transcriptional regulator	AVZ43153.1
pZM33	1358	2306	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;2	ZMO1_ZMOp33x004	2	.	-	ZMO1_ZMOp33x004	CobQ/CobB/MinD/ParA nucleotide binding domain protein	AVZ43154.1
pZM33	2443	3542	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;1	ZMO1_ZMOp33x005	1	.	+	ZMO1_ZMOp33x005	Vibrio phage ICP1 Orf50 family protein	AVZ43155.1
pZM33	2443	3542	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;1	ZMO1_ZMOp33x006	1	.	+	ZMO1_ZMOp33x006	acyl-CoA N-acyltransferase	AVZ43156.1
pZM33	2491	3282	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;2	ZMO1_ZMOp33x005	2	.	+	ZMO1_ZMOp33x005	Vibrio phage ICP1 Orf50 family protein	AVZ43155.1
pZM33	2491	3282	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;2	ZMO1_ZMOp33x006	2	.	+	ZMO1_ZMOp33x006	acyl-CoA N-acyltransferase	AVZ43156.1
pZM33	3030	3558	ZMO1_ZMOp33x007;1	ZMO1_ZMOp33x007	1	.	-	ZMO1_ZMOp33x007	hypothetical protein	AVZ43157.1
pZM33	3327	3497	ZMO1_ZMOp33x007;2	ZMO1_ZMOp33x007	2	.	-	ZMO1_ZMOp33x007	hypothetical protein	AVZ43157.1
pZM33	3635	4551	ZMO1_ZMOp33x008;1	ZMO1_ZMOp33x008	1	.	-	ZMO1_ZMOp33x008	LysR family transcription regulator	AVZ43158.1
pZM33	4751	7629	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;1	ZMO1_ZMOp33x009	1	.	+	ZMO1_ZMOp33x009	carbohydrate-selective porin OprB	AVZ43159.1
pZM33	4751	7629	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;1	ZMO1_ZMOp33x010	1	.	+	ZMO1_ZMOp33x010	sodium:dicarboxylate symporter	AVZ43160.1
pZM33	4763	7508	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;2	ZMO1_ZMOp33x009	2	.	+	ZMO1_ZMOp33x009	carbohydrate-selective porin OprB	AVZ43159.1
pZM33	4763	7508	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;2	ZMO1_ZMOp33x010	2	.	+	ZMO1_ZMOp33x010	sodium:dicarboxylate symporter	AVZ43160.1
pZM33	7627	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x011	1	.	+	ZMO1_ZMOp33x011	carbamoylase-type amidase	AVZ43161.1
pZM33	7627	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x012	1	.	+	ZMO1_ZMOp33x012	2-aminoethylphosphonate--pyruvate transaminase	AVZ43162.1
pZM33	7627	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x013	1	.	+	ZMO1_ZMOp33x013	DUF3225 family protein with NTF2-like domain	AVZ43163.1
pZM33	7627	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x014	1	.	+	ZMO1_ZMOp33x014	protein of unknown function DUF4089	AVZ43164.1
pZM33	7627	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x015	1	.	+	ZMO1_ZMOp33x015	AtzE type amidohydrolase	AVZ43165.1
pZM33	12249	13426	ZMO1_ZMOp33x016,ZMO1_ZMOp33x017;1	ZMO1_ZMOp33x016	1	.	+	ZMO1_ZMOp33x016	short-chain dehydrogenase/reductase SDR	AVZ43166.1
pZM33	12249	13426	ZMO1_ZMOp33x016,ZMO1_ZMOp33x017;1	ZMO1_ZMOp33x017	1	.	+	ZMO1_ZMOp33x017	carboxymuconolactone decarboxylase-like protein	AVZ43167.1
pZM33	13427	14254	ZMO1_ZMOp33x018;2	ZMO1_ZMOp33x018	2	.	+	ZMO1_ZMOp33x018	bacterial bifunctional deaminase-reductase C-terminal domain-containing protein	AVZ43168.1
pZM33	13457	14382	ZMO1_ZMOp33x018;1	ZMO1_ZMOp33x018	1	.	+	ZMO1_ZMOp33x018	bacterial bifunctional deaminase-reductase C-terminal domain-containing protein	AVZ43168.1
pZM33	13782	15193	ZMO1_ZMOp33x019;1	ZMO1_ZMOp33x019	1	.	-	ZMO1_ZMOp33x019	LysR family transcription regulator	AVZ43169.1
pZM33	14192	15193	ZMO1_ZMOp33x019;2	ZMO1_ZMOp33x019	2	.	-	ZMO1_ZMOp33x019	LysR family transcription regulator	AVZ43169.1
pZM33	15199	16574	ZMO1_ZMOp33x020;1	ZMO1_ZMOp33x020	1	.	-	ZMO1_ZMOp33x020	Bcr/CflA subfamily drug resistance transporter	AVZ43170.1
pZM33	15333	16574	ZMO1_ZMOp33x020;2	ZMO1_ZMOp33x020	2	.	-	ZMO1_ZMOp33x020	Bcr/CflA subfamily drug resistance transporter	AVZ43170.1
pZM33	16575	17943	ZMO1_ZMOp33x021;1	ZMO1_ZMOp33x021	1	.	-	ZMO1_ZMOp33x021	alcohol dehydrogenase-like protein	AVZ43171.1
pZM33	17872	19093	ZMO1_ZMOp33x022;1	ZMO1_ZMOp33x022	1	.	+	ZMO1_ZMOp33x022	NADP-dependent oxidoreductase domain protein	AVZ43172.1
pZM33	19094	20349	ZMO1_ZMOp33x023;1	ZMO1_ZMOp33x023	1	.	+	ZMO1_ZMOp33x023	NADP-dependent oxidoreductase domain protein	AVZ43173.1
