chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
pZM39	24	490	ZMO1_ZMOp39x002;1	ZMO1_ZMOp39x002	1	.	+	ZMO1_ZMOp39x002	hypothetical protein	AVZ43238.1
pZM39	25	162	ZMO1_ZMOp39x001;1	ZMO1_ZMOp39x001	1	.	-	ZMO1_ZMOp39x001	hypothetical protein	AVZ43237.1
pZM39	653	1141	ZMO1_ZMOp39x003;1	ZMO1_ZMOp39x003	1	.	+	ZMO1_ZMOp39x003	hypothetical protein	AVZ43239.2
pZM39	1826	2632	ZMO1_ZMOp39x004;1	ZMO1_ZMOp39x004	1	.	+	ZMO1_ZMOp39x004	uncharacterized protein	AVZ43240.1
pZM39	2687	3266	ZMO1_ZMOp39x005,ZMO1_ZMOp39x006;1	ZMO1_ZMOp39x005	1	.	+	ZMO1_ZMOp39x005	RelB antitoxin/Antitoxin DinJ family toxin	AVZ43241.1
pZM39	2687	3266	ZMO1_ZMOp39x005,ZMO1_ZMOp39x006;1	ZMO1_ZMOp39x006	1	.	+	ZMO1_ZMOp39x006	YafQ-like toxin	AVZ43242.1
pZM39	3671	5955	ZMO1_ZMOp39x007;1	ZMO1_ZMOp39x007	1	.	+	ZMO1_ZMOp39x007	TonB-dependent receptor beta-barrel protein	AVZ43243.1
pZM39	6009	6765	ZMO1_ZMOp39x008;1	ZMO1_ZMOp39x008	1	.	-	ZMO1_ZMOp39x008	NAD(P)-dependent oxidoreductase	AVZ43244.1
pZM39	6865	7833	ZMO1_ZMOp39x009,ZMO1_ZMOp39x010;1	ZMO1_ZMOp39x009	1	.	+	ZMO1_ZMOp39x009	putative partitioning protein ParA ATPase	AVZ43245.1
pZM39	6865	7833	ZMO1_ZMOp39x009,ZMO1_ZMOp39x010;1	ZMO1_ZMOp39x010	1	.	+	ZMO1_ZMOp39x010	putative partitioning protein ParB	AVZ43246.1
pZM39	7930	8869	ZMO1_ZMOp39x011;1	ZMO1_ZMOp39x011	1	.	+	ZMO1_ZMOp39x011	AraC-type helix-turn-helix transcriptional regulator	AVZ43247.1
pZM39	8988	11120	ZMO1_ZMOp39x012;1	ZMO1_ZMOp39x012	1	.	+	ZMO1_ZMOp39x012	TonB-dependent receptor	AVZ43248.1
pZM39	11210	14726	ZMO1_ZMOp39x013,ZMO1_ZMOp39x014;1	ZMO1_ZMOp39x013	1	.	+	ZMO1_ZMOp39x013	type I ABC transporter ATPase	AVZ43249.1
pZM39	11210	14726	ZMO1_ZMOp39x013,ZMO1_ZMOp39x014;1	ZMO1_ZMOp39x014	1	.	+	ZMO1_ZMOp39x014	type I ABC transporter ATPase	AVZ43250.1
pZM39	14742	18772	ZMO1_ZMOp39x015,ZMO1_ZMOp39x016;1	ZMO1_ZMOp39x015	1	.	+	ZMO1_ZMOp39x015	ABC transporte ATPase	AVZ43251.1
pZM39	14742	18772	ZMO1_ZMOp39x015,ZMO1_ZMOp39x016;1	ZMO1_ZMOp39x016	1	.	+	ZMO1_ZMOp39x016	ABC transporter permease	AVZ43252.1
pZM39	18820	20179	ZMO1_ZMOp39x017,ZMO1_ZMOp39x018;1	ZMO1_ZMOp39x017	1	.	-	ZMO1_ZMOp39x017	hypothetical protein	AVZ43253.1
pZM39	18820	20179	ZMO1_ZMOp39x017,ZMO1_ZMOp39x018;1	ZMO1_ZMOp39x018	1	.	-	ZMO1_ZMOp39x018	secreted lipase	AVZ43254.1
pZM39	21432	22567	ZMO1_ZMOp39x020,ZMO1_ZMOp39x021,ZMO1_ZMOp39x022;1	ZMO1_ZMOp39x020	1	.	+	ZMO1_ZMOp39x020	hypothetical protein	AVZ43256.1
pZM39	21432	22567	ZMO1_ZMOp39x020,ZMO1_ZMOp39x021,ZMO1_ZMOp39x022;1	ZMO1_ZMOp39x021	1	.	+	ZMO1_ZMOp39x021	death on curing (Doc) protein	AVZ43257.1
pZM39	21432	22567	ZMO1_ZMOp39x020,ZMO1_ZMOp39x021,ZMO1_ZMOp39x022;1	ZMO1_ZMOp39x022	1	.	+	ZMO1_ZMOp39x022	helix-turn-helix DUF1870 domain-containing protein	AVZ43258.1
pZM39	22701	23282	ZMO1_ZMOp39x023;1	ZMO1_ZMOp39x023	1	.	+	ZMO1_ZMOp39x023	P-loop containing nucleoside triphosphate hydrolase domain protein	AVZ43259.1
pZM39	23511	24662	ZMO1_ZMOp39x024,ZMO1_ZMOp39x025;1	ZMO1_ZMOp39x024	1	.	-	ZMO1_ZMOp39x024	hypothetical protein	AVZ43260.1
pZM39	23511	24662	ZMO1_ZMOp39x024,ZMO1_ZMOp39x025;1	ZMO1_ZMOp39x025	1	.	-	ZMO1_ZMOp39x025	ParG family protein	AVZ43261.1
pZM39	26115	31001	ZMO1_ZMOp39x027;1	ZMO1_ZMOp39x027	1	.	+	ZMO1_ZMOp39x027	outermembrane autotransporter	AVZ43262.1
pZM39	32570	32773	ZMO1_ZMOp39x028;1	ZMO1_ZMOp39x028	1	.	-	ZMO1_ZMOp39x028	Arc-type ribbon-helix-helix	AVZ43263.1
pZM39	33392	34316	ZMO1_ZMOp39x030;1	ZMO1_ZMOp39x030	1	.	-	ZMO1_ZMOp39x030	uncharacterized protein	AVZ43265.1
